Pos.,No.,Driver,Team,Time,Grid
1,5,Rafael Câmara,Trident,1:34.999,1
2,4,Noah Strømsted,Trident,1:35.128,2
3,20,Théophile Naël,Van Amersfoort Racing,1:35.566,3
4,28,Nikita Bedrin,AIX Racing,1:35.770,4
5,17,Tim Tramnitz,MP Motorsport,1:35.825,5
6,6,Charlie Wurz,Trident,1:35.839,6
7,11,Tasanapol Inthraphuvasak,Campos Racing,1:35.924,7
8,3,Ugo Ugochukwu,Prema Racing,1:36.038,8
9,14,Martinius Stenshorne,Hitech TGR,1:36.119,9
10,25,Roman Bilinski,Rodin Motorsport,1:36.125,10
11,30,Matías Zagazeta,DAMS Lucas Oil,1:36.232,11
12,21,Santiago Ramos,Van Amersfoort Racing,1:36.268,12
13,15,Joshua Dufek,Hitech TGR,1:36.292,13
14,19,Alessandro Giusti,MP Motorsport,1:36.336,14
15,24,Louis Sharp,Rodin Motorsport,1:36.344,15
16,12,Nikola Tsolov,Campos Racing,1:36.490,16
17,7,Laurens van Hoepen,ART Grand Prix,1:36.655,17
18,23,Callum Voisin,Rodin Motorsport,1:36.669,18
19,2,Noel León,Prema Racing,1:36.742,19
20,26,Javier Sagrera,AIX Racing,1:36.818,20
21,9,James Wharton,ART Grand Prix,1:36.988,21
22,31,Christian Ho,DAMS Lucas Oil,1:37.181,22
23,10,Mari Boya,Campos Racing,1:37.426,23
24,8,Tuukka Taponen,ART Grand Prix,1:37.574,24
25,16,Gerrard Xie,Hitech TGR,1:37.819,25
26,22,Ivan Domingues,Van Amersfoort Racing,1:38.117,26
27,27,Nicola Marinangeli,AIX Racing,1:38.786,27
28,1,Brando Badoer,Prema Racing,1:41.515,28
—,29,Nicola Lacorte,DAMS Lucas Oil,1:49.362,29
—,18,Bruno del Pino,MP Motorsport,1:53.658,30
