Pos.,No.,Driver,Team,Time,Grid
1,12,Nikola Tsolov,Campos Racing,1:20.743,1
2,28,Brad Benavides,AIX Racing,1:20.919,2
3,4,Noah Strømsted,Trident,1:20.921,3
4,18,Bruno del Pino,MP Motorsport,1:20.937,4
5,11,Tasanapol Inthraphuvasak,Campos Racing,1:20.965,5
6,23,Callum Voisin,Rodin Motorsport,1:21.001,6
7,5,Rafael Câmara,Trident,1:21.011,7
8,3,Ugo Ugochukwu,Prema Racing,1:21.015,8
9,1,Brando Badoer,Prema Racing,1:21.019,9
10,6,Charlie Wurz,Trident,1:21.040,10
11,19,Alessandro Giusti,MP Motorsport,1:21.043,11
12,9,James Wharton,ART Grand Prix,1:21.106,12
13,2,Noel León,Prema Racing,1:21.107,13
14,10,Mari Boya,Campos Racing,1:21.139,14
15,14,Martinius Stenshorne,Hitech TGR,1:21.143,15
16,21,Santiago Ramos,Van Amersfoort Racing,1:21.205,16
17,17,Tim Tramnitz,MP Motorsport,1:21.210,17
18,25,Roman Bilinski,Rodin Motorsport,1:21.244,18
19,20,Théophile Naël,Van Amersfoort Racing,1:21.256,19
20,8,Tuukka Taponen,ART Grand Prix,1:21.319,20
21,24,Louis Sharp,Rodin Motorsport,1:21.358,21
22,7,Laurens van Hoepen,ART Grand Prix,1:21.397,22
23,31,Christian Ho,DAMS Lucas Oil,1:21.437,28
24,15,Jesse Carrasquedo Jr.,Hitech TGR,1:21.559,23
25,30,Matías Zagazeta,DAMS Lucas Oil,1:21.579,24
26,22,Ivan Domingues,Van Amersfoort Racing,1:21.741,25
27,26,James Hedley,AIX Racing,1:21.781,26
28,27,Nicola Marinangeli,AIX Racing,1:21.823,27
29,16,Gerrard Xie,Hitech TGR,1:22.236,29
30,29,Nikita Johnson,DAMS Lucas Oil,1:22.540,30
