Pos.,No.,Driver,Team,Time,Grid
1,12,Nikola Tsolov,Campos Racing,1:24.882,1
2,25,Roman Bilinski,Rodin Motorsport,1:25.332,2
3,10,Mari Boya,Campos Racing,1:25.009,3
4,23,Callum Voisin,Rodin Motorsport,1:25.359,4
5,2,Noel León,Prema Racing,1:25.386,5
6,17,Tim Tramnitz,MP Motorsport,1:25.425,6
7,6,Charlie Wurz,Trident,1:25.412,7
8,5,Rafael Câmara,Trident,1:25.484,11
9,8,Tuukka Taponen,ART Grand Prix,1:25.520,8
10,7,Laurens van Hoepen,ART Grand Prix,1:25.565,9
11,14,Martinius Stenshorne,Hitech TGR,1:25.722,10
12,19,Alessandro Giusti,MP Motorsport,1:25.653,12
13,24,Louis Sharp,Rodin Motorsport,1:25.825,13
14,3,Ugo Ugochukwu,Prema Racing,1:25.936,14
15,4,Noah Strømsted,Trident,1:25.841,15
16,15,Joshua Dufek,Hitech TGR,1:26.113,16
17,22,Ivan Domingues,Van Amersfoort Racing,1:25.848,17
18,11,Tasanapol Inthraphuvasak,Campos Racing,1:26.209,18
19,28,Brad Benavides,AIX Racing,1:25.954,19
20,31,Christian Ho,DAMS Lucas Oil,1:26.399,20
21,30,Matías Zagazeta,DAMS Lucas Oil,1:26.001,21
22,9,James Wharton,ART Grand Prix,1:26.457,22
23,20,Théophile Naël,Van Amersfoort Racing,1:26.004,23
24,21,Santiago Ramos,Van Amersfoort Racing,1:27.797,24
25,18,Bruno del Pino,MP Motorsport,1:26.009,25
26,1,Brando Badoer,Prema Racing,1:27.832,26
27,16,Gerrard Xie,Hitech TGR,1:26.085,27
28,27,Nicola Marinangeli,AIX Racing,1:27.976,28
29,26,James Hedley,AIX Racing,1:26.594,WD
30,29,Nicola Lacorte,DAMS Lucas Oil,No time,29
