Pos.,No.,Driver,Team,Time/Gap,GridSR,GridFR
1,5,Rafael Câmara,Trident,1:28.761,12,1
2,12,Nikola Tsolov,Campos Racing,+0.216,11,2
3,7,Laurens van Hoepen,ART Grand Prix,+0.345,10,3
4,20,Théophile Naël,Van Amersfoort Racing,+0.353,9,4
5,21,Santiago Ramos,Van Amersfoort Racing,+0.389,8,5
6,19,Alessandro Giusti,MP Motorsport,+0.434,7,6
7,22,Ivan Domingues,Van Amersfoort Racing,+0.514,6,7
8,4,Noah Strømsted,Trident,+0.530,5,8
9,8,Tuukka Taponen,ART Grand Prix,+0.534,4,9
10,17,Tim Tramnitz,MP Motorsport,+0.566,3,13
11,14,Martinius Stenshorne,Hitech TGR,+0.578,2,10
12,25,Roman Bilinski,Rodin Motorsport,+0.618,1,11
13,9,James Wharton,ART Grand Prix,+0.622,13,12
14,2,Noel León,Prema Racing,+0.629,14,14
15,10,Mari Boya,Campos Racing,+0.671,15,15
16,11,Tasanapol Inthraphuvasak,Campos Racing,+0.672,192,19
17,23,Callum Voisin,Rodin Motorsport,+0.681,16,16
18,24,Louis Sharp,Rodin Motorsport,+0.704,17,17
19,6,Charlie Wurz,Trident,+0.724,18,18
20,18,Bruno del Pino,MP Motorsport,+0.754,20,20
21,28,Brad Benavides,AIX Racing,+0.754,21,21
22,1,Brando Badoer,Prema Racing,+0.790,22,22
23,31,Christian Ho,DAMS Lucas Oil,+0.866,23,23
24,3,Ugo Ugochukwu,Prema Racing,+0.938,24,24
25,26,José Garfias,AIX Racing,+0.955,25,25
26,29,Nicola Lacorte,DAMS Lucas Oil,+0.993,303,30
27,15,Jesse Carrasquedo Jr.,Hitech TGR,+1.214,26,26
28,27,Nicola Marinangeli,AIX Racing,+1.265,27,27
29,30,Matías Zagazeta,DAMS Lucas Oil,+1.395,28,28
30,16,Gerrard Xie,Hitech TGR,+1.338,29,29
