Pos.,No.,Driver,Team,Time,Grid
1,28,Brad Benavides,AIX Racing,2:04.253,1
2,5,Rafael Câmara,Trident,2:04.359,2
3,23,Callum Voisin,Rodin Motorsport,2:04.460,3
4,25,Roman Bilinski,Rodin Motorsport,2:04.471,4
5,14,Martinius Stenshorne,Hitech TGR,2:04.484,5
6,3,Ugo Ugochukwu,Prema Racing,2:04.570,6
7,12,Nikola Tsolov,Campos Racing,2:04.587,7
8,11,Tasanapol Inthraphuvasak,Campos Racing,2:04.662,8
9,6,Charlie Wurz,Trident,2:04.738,9
10,18,Bruno del Pino,MP Motorsport,2:04.838,10
11,4,Noah Strømsted,Trident,2:04.858,11
12,15,Freddie Slater,Hitech TGR,2:04.909,12
13,17,Tim Tramnitz,MP Motorsport,2:04.940,13
14,1,Brando Badoer,Prema Racing,2:05.024,14
15,29,Nicola Lacorte,DAMS Lucas Oil,2:05.034,15
16,10,Mari Boya,Campos Racing,2:05.047,16
17,16,Gerrard Xie,Hitech TGR,2:05.088,17
18,19,Alessandro Giusti,MP Motorsport,2:05.165,18
19,7,Laurens van Hoepen,ART Grand Prix,2:05.234,19
20,9,James Wharton,ART Grand Prix,2:05.279,20
21,22,Ivan Domingues,Van Amersfoort Racing,2:05.385,21
22,31,Christian Ho,DAMS Lucas Oil,2:05.389,22
23,20,Théophile Naël,Van Amersfoort Racing,2:05.508,23
24,24,Louis Sharp,Rodin Motorsport,2:05.508,24
25,21,Santiago Ramos,Van Amersfoort Racing,2:05.680,25
26,30,Matías Zagazeta,DAMS Lucas Oil,2:05.695,26
27,2,Noel León,Prema Racing,2:05.742,27
28,26,James Hedley,AIX Racing,2:05.932,28
29,8,Tuukka Taponen,ART Grand Prix,2:05.965,29
30,27,Nicola Marinangeli,AIX Racing,2:08.765,30
