Pos.,No.,Driver,Team,Time,Grid
1,28,Brad Benavides,AIX Racing,1:38.120,1
2,3,Ugo Ugochukwu,Prema Racing,1:38.613,2
3,2,Noel León,Prema Racing,1:38.382,3
4,11,Tasanapol Inthraphuvasak,Campos Racing,1:38.626,9
5,12,Nikola Tsolov,Campos Racing,1:38.467,5
6,25,Roman Bilinski,Rodin Motorsport,1:38.667,6
7,30,Matías Zagazeta,DAMS Lucas Oil,1:38.482,7
8,19,Alessandro Giusti,MP Motorsport,1:38.670,8
9,8,Tuukka Taponen,ART Grand Prix,1:38.502,9
10,17,Tim Tramnitz,MP Motorsport,1:38.825,10
11,14,Martinius Stenshorne,HitechTGR,1:38.560,11
12,7,Laurens van Hoepen,ART Grand Prix,1:38.988,12
13,22,Ivan Domingues,Van Amersfoort Racing,1:38.600,13
14,1,Brando Badoer,Prema Racing,1:39.028,14
15,6,Charlie Wurz,Trident,1:38.604,15
16,15,Nikita Johnson,HitechTGR,1:39.232,16
17,10,Mari Boya,Campos Racing,1:38.638,17
18,31,Christian Ho,DAMS Lucas Oil,1:39.355,18
19,4,Noah Strømsted,Trident,1:38.647,19
20,23,Callum Voisin,Rodin Motorsport,1:39.447,20
21,20,Théophile Naël,Van Amersfoort Racing,1:38.699,21
22,9,James Wharton,ART Grand Prix,1:39.473,22
23,24,Louis Sharp,Rodin Motorsport,1:39.014,23
24,21,James Hedley,Van Amersfoort Racing,1:39.629,24
25,16,Gerrard Xie,HitechTGR,1:39.084,25
26,29,Nicola Lacorte,DAMS Lucas Oil,1:39.710,26
27,18,Bruno del Pino,MP Motorsport,1:39.159,27
28,27,Nicola Marinangeli,AIX Racing,1:40.033,28
29,26,Fernando Barrichello,AIX Racing,1:39.319,29
30,5,Rafael Câmara,Trident,1:54.677,30
