Pos.,No.,Driver,Team,Time,Grid
1,12,Nikola Tsolov,Campos Racing,1:45.043,1
2,3,Ugo Ugochukwu,Prema Racing,1:45.066,2
3,5,Rafael Câmara,Trident,1:45.176,3
4,10,Mari Boya,Campos Racing,1:45.351,4
5,17,Tim Tramnitz,MP Motorsport,1:45.472,5
6,6,Charlie Wurz,Trident,1:45.480,6
7,14,Martinius Stenshorne,Hitech TGR,1:45.488,7
8,7,Laurens van Hoepen,ART Grand Prix,1:45.496,8
9,20,Théophile Naël,Van Amersfoort Racing,1:45.522,9
10,2,Noel León,Prema Racing,1:45.540,10
11,31,Christian Ho,DAMS Lucas Oil,1:45.582,11
12,11,Tasanapol Inthraphuvasak,Campos Racing,1:45.584,12
13,28,Brad Benavides,AIX Racing,1:45.626,13
14,19,Alessandro Giusti,MP Motorsport,1:45.686,17
15,4,Noah Strømsted,Trident,1:45.695,14
16,1,Brando Badoer,Prema Racing,1:45.726,19
17,25,Roman Bilinski,Rodin Motorsport,1:45.780,15
18,21,Santiago Ramos,Van Amersfoort Racing,1:45.785,16
19,8,Tuukka Taponen,ART Grand Prix,1:45.925,18
20,9,James Wharton,ART Grand Prix,1:45.990,20
21,22,Ivan Domingues,Van Amersfoort Racing,1:45.992,21
22,18,Bruno del Pino,MP Motorsport,1:46.017,22
23,24,Louis Sharp,Rodin Motorsport,1:46.020,23
24,30,Matías Zagazeta,DAMS Lucas Oil,1:46.060,24
25,23,Callum Voisin,Rodin Motorsport,1:46.161,25
26,15,Nikita Johnson,Hitech TGR,1:46.458,26
27,29,Nicola Lacorte,DAMS Lucas Oil,1:46.524,27
28,16,Gerrard Xie,Hitech TGR,1:46.804,28
29,27,Nicola Marinangeli,AIX Racing,1:46.922,29
30,26,James Hedley,AIX Racing,1:47.103,30
