Pos.,No.,Driver,Team,Time,Grid
1,5,Rafael Câmara,Trident,1:32.206,1
2,21,Santiago Ramos,Van Amersfoort Racing,1:32.442,2
3,4,Noah Strømsted,Trident,1:32.450,3
4,8,Tuukka Taponen,ART Grand Prix,1:32.533,4
5,24,Louis Sharp,Rodin Motorsport,1:32.565,5
6,25,Roman Bilinski,Rodin Motorsport,1:32.579,6
7,3,Ugo Ugochukwu,Prema Racing,1:32.587,7
8,2,Noel León,Prema Racing,1:32.612,8
9,12,Nikola Tsolov,Campos Racing,1:32.636,9
10,10,Mari Boya,Campos Racing,1:32.710,10
11,17,Tim Tramnitz,MP Motorsport,1:32.778,11
12,18,Bruno del Pino,MP Motorsport,1:32.780,12
13,19,Alessandro Giusti,MP Motorsport,1:32.792,13
14,28,Brad Benavides,AIX Racing,1:32.879,14
15,1,Brando Badoer,Prema Racing,1:32.894,15
16,14,Martinius Stenshorne,Hitech TGR,1:32.928,16
17,7,Laurens van Hoepen,ART Grand Prix,1:32.979,17
18,29,Nicola Lacorte,DAMS Lucas Oil,1:33.042,18
19,15,Joshua Dufek,Hitech TGR,1:33.087,19
20,9,James Wharton,ART Grand Prix,1:33.096,20
21,20,Théophile Naël,Van Amersfoort Racing,1:33.177,21
22,23,Callum Voisin,Rodin Motorsport,1:33.220,22
23,26,James Hedley,AIX Racing,1:33.281,23
24,22,Ivan Domingues,Van Amersfoort Racing,1:33.370,24
25,31,Christian Ho,DAMS Lucas Oil,1:33.475,25
26,30,Matías Zagazeta,DAMS Lucas Oil,1:33.506,26
27,16,Gerrard Xie,Hitech TGR,1:33.594,27
28,6,Charlie Wurz,Trident,1:33.862,28
29,27,Nicola Marinangeli,AIX Racing,1:33.921,29
—,11,Tasanapol Inthraphuvasak,Campos Racing,2:05.531,30
