Team,Chassis[N 1],Engine,No.,Driver,Status,Rounds
Motopark,F315/007,Volkswagen,1,Joel Eriksson,,All
Motopark,F315/003,Volkswagen,10,Petru Florescu[N 2],,8–9
Motopark,F315/003,Volkswagen,4,Jüri Vips[N 2],G,10
Motopark,F314/016,Volkswagen,33,Marino Sato[N 3],R,All
Motopark,F317/010,Volkswagen,47,Keyvan Andres Soori[N 4],,All
Motopark,F316/020,Volkswagen,55,David Beckmann,,4–10
Prema Powerteam,F316/016,Mercedes,3,Maximilian Günther,,All
Prema Powerteam,F315/004,Mercedes,8,Guanyu Zhou[N 2],,All
Prema Powerteam,F317/003,Mercedes,25,Mick Schumacher[N 2],R,All
Prema Powerteam,F314/015,Mercedes,53,Callum Ilott,,All
Van Amersfoort Racing,F316/017,Mercedes,5,Pedro Piquet[N 5],,All
Van Amersfoort Racing,F312/051,Mercedes,17,Harrison Newey[N 6],,All
Van Amersfoort Racing,F317/005,Mercedes,55,David Beckmann[N 2],,1–3
Van Amersfoort Racing,F317/005,Mercedes,15,Max Defourny[N 2],R,8
Van Amersfoort Racing,F317/005,Mercedes,16,Felipe Drugovich[N 2],G,10
Van Amersfoort Racing,F316/010,Mercedes,96,Joey Mawson[N 7],R,All
Hitech Grand Prix,F316/019,Mercedes,7,Ralf Aron[N 8],,All
Hitech Grand Prix,F317/011,Mercedes,11,Tadasuke Makino[N 9],,"1–5, 7–10"
Hitech Grand Prix,F315/010,Mercedes,34,Jake Hughes[N 10],,All
Hitech Grand Prix,F316/018,Mercedes,99,Nikita Mazepin[N 11],,All
Carlin,F316/014,Volkswagen,21,Jake Dennis,,1–3
Carlin,F312/010,Volkswagen,21,Ameya Vaidyanathan[N 2],,6–8
Carlin,F312/010,Volkswagen,21,Devlin DeFrancesco[N 2],G,9–10
Carlin,F315/001,Volkswagen,27,Jehan Daruvala[N 12],R,All
Carlin,F317/001,Volkswagen,31,Lando Norris,R,All
Carlin,F312/004,Volkswagen,37,Sacha Fenestraz[N 2],R,8
