Pos.,No.,Driver,Entrant,Time/Gap,GridSR,GridFR
1,4,Leonardo Fornaroli,Trident,1:33.044,12,1
2,2,Gabriele Minì,Prema Racing,+0.019,11,2
3,1,Dino Beganovic,Prema Racing,+0.300,10,3
4,27,Nikita Bedrin,PHM AIX Racing,+0.345,8,4
5,14,Luke Browning,Hitech Pulse-Eight,+0.391,7,5
6,12,Mari Boya,Campos Racing,+0.527,6,6
7,25,Nikola Tsolov,ART Grand Prix,+0.540,91,7
8,3,Arvid Lindblad,Prema Racing,+0.672,5,8
9,10,Oliver Goethe,Campos Racing,+0.723,4,9
10,23,Christian Mansell,ART Grand Prix,+0.925,3,10
11,15,Martinius Stenshorne,Hitech Pulse-Eight,+1.051,2,11
12,24,Laurens van Hoepen,ART Grand Prix,+1.064,1,12
13,28,Joshua Dufek,PHM AIX Racing,+1.243,13,13
14,17,Charlie Wurz,Jenzer Motorsport,+1.268,14,14
15,11,Sebastián Montoya,Campos Racing,+1.279,15,15
16,20,Noel León,Van Amersfoort Racing,+1.314,16,16
17,9,Alex Dunne,MP Motorsport,+1.377,17,17
18,6,Santiago Ramos,Trident,+1.420,18,18
19,8,Kacper Sztuka,MP Motorsport,+1.441,19,19
20,18,Max Esterson,Jenzer Motorsport,+1.443,20,20
21,19,Matías Zagazeta,Jenzer Motorsport,+1.473,21,21
22,7,Tim Tramnitz,MP Motorsport,+1.483,22,22
23,29,Callum Voisin,Rodin Motorsport,+1.729,23,23
24,26,Tasanapol Inthraphuvasak,PHM AIX Racing,+1.821,24,24
25,21,Sophia Flörsch,Van Amersfoort Racing,+1.858,25,25
26,5,Sami Meguetounif,Trident,+2.018,26,26
27,30,Piotr Wiśnicki,Rodin Motorsport,+2.369,27,27
28,16,Cian Shields,Hitech Pulse-Eight,+2.475,28,28
29,31,Joseph Loake,Rodin Motorsport,+2.656,29,29
30,22,Tommy Smith,Van Amersfoort Racing,+3.755,30,30
