Pos.,No.,Driver,Entrant,Time/Gap,GridSR,GridFR
1,1,Dino Beganovic,Prema Racing,1:46.431,12,1
2,14,Luke Browning,Hitech Pulse-Eight,+0.167,11,2
3,2,Gabriele Minì,Prema Racing,+0.170,10,3
4,5,Sami Meguetounif,Trident,+0.364,9,4
5,6,Santiago Ramos,Trident,+0.367,8,5
6,4,Leonardo Fornaroli,Trident,+0.374,7,6
7,7,Tim Tramnitz,MP Motorsport,+0.397,6,7
8,23,Christian Mansell,ART Grand Prix,+0.412,5,8
9,3,Arvid Lindblad,Prema Racing,+0.442,4,9
10,18,Max Esterson,Jenzer Motorsport,+0.503,3,10
11,25,Nikola Tsolov,ART Grand Prix,+0.510,2,11
12,24,Laurens van Hoepen,ART Grand Prix,+0.531,1,12
13,20,Noel León,Van Amersfoort Racing,+0.600,13,13
14,9,Alex Dunne,MP Motorsport,+0.702,14,14
15,12,Mari Boya,Campos Racing,+0.739,15,15
16,17,Charlie Wurz,Jenzer Motorsport,+0.760,16,16
17,10,Oliver Goethe,Campos Racing,+0.767,17,17
18,27,Nikita Bedrin,PHM AIX Racing,+0.778,18,18
19,29,Callum Voisin,Rodin Motorsport,+0.785,19,19
20,19,Matías Zagazeta,Jenzer Motorsport,+0.786,20,25
21,31,Joseph Loake,Rodin Motorsport,+0.788,21,20
22,15,Martinius Stenshorne,Hitech Pulse-Eight,+1.040,22,21
23,26,Tasanapol Inthraphuvasak,PHM AIX Racing,+1.304,23,22
24,8,Kacper Sztuka,MP Motorsport,+1.314,24,23
25,21,Sophia Flörsch,Van Amersfoort Racing,+1.381,25,24
26,28,Joshua Dufek,PHM AIX Racing,+1.447,26,26
27,22,Tommy Smith,Van Amersfoort Racing,+1.498,27,27
28,30,Piotr Wiśnicki,Rodin Motorsport,+1.540,28,28
29,11,Sebastián Montoya,Campos Racing,+1.927,29,29
30,16,Cian Shields,Hitech Pulse-Eight,+2.134,30,30
