Pos.,No.,Driver,Team,Time/Gap,GridSR,GridFR
1,14,Luke Browning,Hitech Pulse-Eight,1:44.992,12,1
2,18,Max Esterson,Jenzer Motorsport,+0.045,11,2
3,5,Sami Meguetounif,Trident,+0.092,10,3
4,4,Leonardo Fornaroli,Trident,+0.273,9,4
5,24,Laurens van Hoepen,ART Grand Prix,+0.294,8,5
6,17,Charlie Wurz,Jenzer Motorsport,+0.320,7,6
7,23,Christian Mansell,ART Grand Prix,+0.382,6,7
8,25,Nikola Tsolov,ART Grand Prix,+0.402,5,8
9,29,Callum Voisin,Rodin Motorsport,+0.405,4,9
10,19,Matías Zagazeta,Jenzer Motorsport,+0.413,3,10
11,3,Arvid Lindblad,Prema Racing,+0.434,2,11
12,20,Noel León,Van Amersfoort Racing,+0.483,1,12
13,9,Alex Dunne,MP Motorsport,+0.553,13,13
14,2,Gabriele Minì,Prema Racing,+0.570,14,14
15,10,Oliver Goethe,Campos Racing,+0.636,15,15
16,31,Joseph Loake,Rodin Motorsport,+0.787,16,16
17,11,Sebastián Montoya,Campos Racing,+0.792,17,17
18,6,Santiago Ramos,Trident,+0.817,18,18
19,1,Dino Beganovic,Prema Racing,+0.826,19,19
20,8,Kacper Sztuka,MP Motorsport,+1.040,20,20
21,7,Tim Tramnitz,MP Motorsport,+1.192,21,21
22,12,Mari Boya,Campos Racing,+1.437,22,22
23,16,Cian Shields,Hitech Pulse-Eight,+1.485,23,23
24,4,Nikita Bedrin[a],AIX Racing,+1.503,24,24
25,21,Sophia Flörsch,Van Amersfoort Racing,+1.592,25,25
26,22,Tommy Smith,Van Amersfoort Racing,+1.627,26,26
27,15,James Wharton,Hitech Pulse-Eight,+1.781,27,27
28,26,Tasanapol Inthraphuvasak,AIX Racing,+1.872,28,28
29,28,Joshua Dufek,AIX Racing,+1.981,29,29
30,30,Piotr Wiśnicki,Rodin Motorsport,+2.878,30,30
