Team,No.,Driver name,Rounds
ART Grand Prix,1,Charles Leclerc,All
ART Grand Prix,2,Nirei Fukuzumi,All
ART Grand Prix,3,Alexander Albon,All
ART Grand Prix,4,Nyck de Vries,All
Trident,5,Antonio Fuoco,All
Trident,6,Artur Janosz,All
Trident,7,Giuliano Alesi,All
Trident,8,Sandy Stuvik,All
Arden International,9,Jake Dennis,All
Arden International,10,Tatiana Calderón,All
Arden International,11,Jack Aitken,All
Koiranen GP,14,Matt Parry,All
Koiranen GP,15,Mahaveer Raghunathan,1
Koiranen GP,16,Matevos Isaakyan,All
Koiranen GP,17,Ralph Boschung,"1–5, 7"
Koiranen GP,17,Niko Kari,6
Jenzer Motorsport,18,Akash Nandy,All
Jenzer Motorsport,19,Richard Gonda,"1–2, 4"
Jenzer Motorsport,19,Óscar Tunjo,6
Jenzer Motorsport,19,Alessio Lorandi,8–9
Jenzer Motorsport,20,Óscar Tunjo,1–2
Jenzer Motorsport,20,Arjun Maini,3–9
Campos Racing,22,Álex Palou,All
Campos Racing,23,Steijn Schothorst,All
Campos Racing,24,Konstantin Tereshchenko,All
DAMS,26,Santino Ferrucci,All
DAMS,27,Jake Hughes,All
DAMS,28,Kevin Jörg,All
