Team,No.,Driver name,Rounds
ART Grand Prix,1,Nobuharu Matsushita,"1–3, 5–11"
ART Grand Prix,1,René Binder,4
ART Grand Prix,2,Sergey Sirotkin,All
Racing Engineering,3,Norman Nato,All
Racing Engineering,4,Jordan King,All
DAMS,5,Alex Lynn,All
DAMS,6,Nicholas Latifi,All
Pertamina Campos Racing,7,Mitch Evans,All
Pertamina Campos Racing,8,Sean Gelael,All
Russian Time,9,Raffaele Marciello,All
Russian Time,10,Artem Markelov,All
Rapax,11,Gustav Malja,All
Rapax,12,Arthur Pic,1–9
Rapax,12,Johnny Cecotto Jr.,10–11
Trident,14,Philo Paz Armand,All
Trident,15,Luca Ghiotto,All
Carlin,18,Sergio Canamasas,"1–6, 8–11"
Carlin,18,René Binder,7
Carlin,19,Marvin Kirchhöfer,1–10
Carlin,19,Louis Delétraz,11
Prema Racing,20,Antonio Giovinazzi,All
Prema Racing,21,Pierre Gasly,All
MP Motorsport,22,Oliver Rowland,All
MP Motorsport,23,Daniël de Jong,All
Arden International,24,Nabil Jeffri,All
Arden International,25,Jimmy Eriksson,1–9
Arden International,25,Emil Bernstorff,11
