Pos.,No.,Driver,Team,Time/Gap,Grid
1,4,Jack Doohan,Trident,1:54.514,1
2,5,Clément Novalak,Trident,+0.134,2
3,27,Johnathan Hoggard,Jenzer Motorsport,+0.173,3
4,7,Frederik Vesti,ART Grand Prix,+0.198,4
5,9,Juan Manuel Correa,ART Grand Prix,+0.241,5
6,21,Lorenzo Colombo,Campos Racing,+0.245,6
7,8,Alexander Smolyar,ART Grand Prix,+0.251,7
8,18,Caio Collet,MP Motorsport,+0.258,8
9,1,Dennis Hauger,Prema Racing,+0.312,9
10,10,Jak Crawford,Hitech Grand Prix,+0.339,10
11,29,Logan Sargeant,Charouz Racing System,+0.345,11
12,17,Victor Martins,MP Motorsport,+0.445,12
13,12,Roman Staněk,Hitech Grand Prix,+0.463,13
14,2,Arthur Leclerc,Prema Racing,+0.575,14
15,3,Olli Caldwell,Prema Racing,+0.637,15
16,15,Oliver Rasmussen,HWA Racelab,+0.652,16
17,6,David Schumacher,Trident,+0.714,17
18,11,Ayumu Iwasa,Hitech Grand Prix,+0.788,18
19,14,Matteo Nannini,HWA Racelab,+0.905,19
20,22,Amaury Cordeel,Campos Racing,+0.952,20
21,26,Calan Williams,Jenzer Motorsport,+0.989,21
22,24,Kaylen Frederick,Carlin Buzz Racing,+1.166,22
23,16,Rafael Villagómez,HWA Racelab,+1.493,23
24,28,Filip Ugran,Jenzer Motorsport,+1.749,24
25,19,Tijmen van der Helm,MP Motorsport,+2.011,25
26,30,Ayrton Simmons,Charouz Racing System,+2.013,26
27,20,László Tóth,Campos Racing,+2.086,27
28,23,Ido Cohen,Carlin Buzz Racing,+2.515,28
29,31,Zdeněk Chovanec,Charouz Racing System,+2.650,29
30,25,Jonny Edgar,Carlin Buzz Racing,,30
