Pos.,No.,Driver,Team,Time/Gap,Grid
1,2,Arthur Leclerc,Prema Racing,1:33.164,1
2,1,Dennis Hauger,Prema Racing,+0.089,2
3,4,Jack Doohan,Trident,+0.096,3
4,6,David Schumacher,Trident,+0.120,4
5,5,Clément Novalak,Trident,+0.167,5
6,8,Aleksandr Smolyar,ART Grand Prix,+0.265,6
7,7,Frederik Vesti,ART Grand Prix,+0.285,7
8,29,Logan Sargeant,Charouz Racing System,+0.468,8
9,3,Olli Caldwell,Prema Racing,+0.540,9
10,11,Ayumu Iwasa,Hitech Grand Prix,+0.613,10
11,21,Lorenzo Colombo,Campos Racing,+0.641,11
12,25,Jonny Edgar,Carlin Buzz Racing,+0.714,12
13,14,Matteo Nannini,HWA Racelab,+0.840,13
14,9,Juan Manuel Correa,ART Grand Prix,+0.858,14
15,12,Roman Staněk,Hitech Grand Prix,+0.861,15
16,26,Calan Williams,Jenzer Motorsport,+0.873,16
17,30,Enzo Fittipaldi,Charouz Racing System,+0.907,17
18,24,Jake Hughes,Carlin Buzz Racing,+0.949,18
19,22,Amaury Cordeel,Campos Racing,+0.960,19
20,19,Tijmen van der Helm,MP Motorsport,+1.078,20
21,15,Oliver Rasmussen,HWA Racelab,+1.086,21
22,10,Jak Crawford,Hitech Grand Prix,+1.092,22
23,27,Johnathan Hoggard,Jenzer Motorsport,+1.221,23
24,17,Victor Martins,MP Motorsport,+1.354,24
25,18,Caio Collet,MP Motorsport,+1.421,25
26,23,Ido Cohen,Carlin Buzz Racing,+1.450,26
27,31,Reshad de Gerus,Charouz Racing System,+1.623,27
28,16,Rafael Villagómez,HWA Racelab,+1.723,28
29,20,László Tóth,Campos Racing,+1.752,29
30,28,Filip Ugran,Jenzer Motorsport,+1.904,30
