Pos.,No.,Driver,Team,Time/Gap,Grid
1,7,Frederik Vesti,ART Grand Prix,1:50.882,1
2,1,Dennis Hauger,Prema Racing,+0.181,2
3,17,Victor Martins,MP Motorsport,+0.240,3
4,4,Jack Doohan,Trident,+0.283,4
5,18,Caio Collet,MP Motorsport,+0.305,5
6,5,Clément Novalak,Trident,+0.331,6
7,8,Aleksandr Smolyar,ART Grand Prix,+0.387,7
8,11,Ayumu Iwasa,Hitech Grand Prix,+0.602,8
9,9,Juan Manuel Correa,ART Grand Prix,+0.621,9
10,29,Logan Sargeant,Charouz Racing System,+0.643,10
11,6,David Schumacher,Trident,+0.668,11
12,26,Calan Williams,Jenzer Motorsport,+0.693,12
13,14,Matteo Nannini,HWA Racelab,+0.731,13
14,3,Olli Caldwell,Prema Racing,+0.766,14
15,19,Tijmen van der Helm,MP Motorsport,+0.787,15
16,10,Jak Crawford,Hitech Grand Prix,+0.836,16
17,12,Roman Staněk,Hitech Grand Prix,+0.890,17
18,21,Lorenzo Colombo,Campos Racing,+0.927,18
19,22,Amaury Cordeel,Campos Racing,+1.047,19
20,27,Johnathan Hoggard,Jenzer Motorsport,+1.169,20
21,30,Enzo Fittipaldi,Charouz Racing System,+1.452,21
22,24,Kaylen Frederick,Carlin Buzz Racing,+1.571,22
23,25,Jonny Edgar,Carlin Buzz Racing,+1.571,23
24,15,Oliver Rasmussen,HWA Racelab,+1.593,24
25,20,Pierre-Louis Chovet,Campos Racing,+1.682,25
26,31,Reshad de Gerus,Charouz Racing System,+1.913,26
27,28,Filip Ugran,Jenzer Motorsport,+1.941,27
28,16,Rafael Villagómez,HWA Racelab,+2.064,28
29,23,Ido Cohen,Carlin Buzz Racing,+2.141,29
—,2,Arthur Leclerc,Prema Racing,No time set,30
