Pos.,No.,Driver,Team,Time,Grid
1,5,Marvin Kirchhöfer,ART Grand Prix,1:47.040,1
2,15,Emil Bernstorff,Arden International,1:47.197,2
3,24,Álex Palou,Campos Racing,1:47.237,3
4,12,Matt Parry,Koiranen GP,1:47.258,4
5,11,Jimmy Eriksson,Koiranen GP,1:47.389,5
6,27,Luca Ghiotto,Trident,1:47.602,6
7,10,Adderly Fong,Koiranen GP,1:47.620,7
8,6,Esteban Ocon,ART Grand Prix,1:47.648,8
9,3,Mitchell Gilbert,ART Grand Prix,1:47.664,9
10,14,Kevin Ceccon,Arden International,1:47.945,10
11,22,Ralph Boschung,Jenzer Motorsport,1:48.053,11
12,26,Artur Janosz,Trident,1:48.086,12
13,7,Seb Morris,Status Grand Prix,1:48.169,13
14,2,Jann Mardenborough,Carlin,1:48.204,14
15,28,Óscar Tunjo,Trident,1:48.275,15
16,20,Pål Varhaug,Jenzer Motorsport,1:48.338,16
17,4,Alfonso Celis Jr.,ART Grand Prix,1:48.522,17
18,8,Alex Fontana,Status Grand Prix,1:48.536,18
19,9,Sandy Stuvik,Status Grand Prix,1:48.541,19
20,21,Mathéo Tuscher,Arden International,1:48.609,20
21,1,Antonio Fuoco,Carlin,1:49.157,20
22,16,Aleksander Bosak,Arden International,1:49.351,21
23,25,Christopher Höher,Campos Racing,1:49.661,23
24,23,Zaid Ashkanani,Campos Racing,1:49.750,24
