Pos.,No.,Driver,Team,Time,Grid
1,6,Esteban Ocon,ART Grand Prix,1:53.921,1
2,21,Mathéo Tuscher,Jenzer Motorsport,1:53.961,2
3,14,Kevin Ceccon,Arden International,1:54.018,3
4,24,Alex Palou,Campos Racing,1:54.061,4
5,2,Jann Mardenborough,Carlin,1:54.605,5
6,12,Matt Parry,Koiranen GP,1:54.683,9
7,27,Luca Ghiotto,Trident,1:54.723,6
8,15,Emil Bernstorff,Arden International,1:54.816,7
9,1,Antonio Fuoco,Carlin,1:54.933,8
10,7,Seb Morris,Status Grand Prix,1:55.352,10
11,26,Artur Janosz,Trident,1:55.672,11
12,28,Michele Beretta,Trident,1:55.800,12
13,3,Mitchell Gilbert,Carlin,1:55.989,13
14,4,Alfonso Celis Jr.,ART Grand Prix,1:56.041,14
15,25,Konstantin Tereshchenko,Campos Racing,1:56.218,15
16,5,Marvin Kirchhöfer,ART Grand Prix,1:56.273,16
17,11,Jimmy Eriksson,Koiranen GP,1:56.654,17
18,9,Sandy Stuvik,Status Grand Prix,1:56.976,18
19,22,Ralph Boschung,Jenzer Motorsport,1:57.338,19
20,23,Zaid Ashkanani,Campos Racing,1:57.856,20
21,10,Adderly Fong,Koiranen GP,1:57.881,21
22,8,Alex Fontana,Status Grand Prix,2:01.180,22
23,16,Aleksander Bosak,Arden International,2:01.363,23
24,20,Pål Varhaug,Jenzer Motorsport,2:18.891,24
