Pos.,No.,Driver,Team,Time,Grid
1,27,Luca Ghiotto,Trident,1:50.007,1
2,6,Esteban Ocon,ART Grand Prix,1:51.007,2
3,12,Matt Parry,Koiranen GP,1:51.292,3
4,14,Kevin Ceccon,Arden International,1:51.415,4
5,15,Emil Bernstorff,Arden International,1:51.428,5
6,5,Marvin Kirchhöfer,ART Grand Prix,1:51.442,6
7,24,Álex Palou,Campos Racing,1:51.452,7
8,1,Antonio Fuoco,Carlin,1:51.720,8
9,7,Seb Morris,Status Grand Prix,1:51.723,9
10,11,Jimmy Eriksson,Koiranen GP,1:51.748,10
11,26,Artur Janosz,Trident,1:51.806,11
12,21,Mathéo Tuscher,Jenzer Motorsport,1:51.813,12
13,28,Amaury Bonduel,Trident,1:52.048,13
14,9,Sandy Stuvik,Status Grand Prix,1:52.095,14
15,20,Pål Varhaug,Jenzer Motorsport,1:52.219,15
16,23,Zaid Ashkanani,Campos Racing,1:52.373,16
17,8,Alex Fontana,Status Grand Prix,1:52.383,17
18,3,Mitchell Gilbert,Carlin,1:52.501,18
19,25,Brandon Maïsano,Campos Racing,1:52.653,19
20,16,Aleksander Bosak,Arden International,1:54.052,20
21,22,Ralph Boschung,Jenzer Motorsport,,21
