Pos.,No.,Driver,Team,Time,Grid
1,27,Luca Ghiotto,Trident,1:34.030,1
2,15,Emil Bernstorff,Arden International,1:34.066,2
3,6,Esteban Ocon,ART Grand Prix,1:34.214,3
4,5,Marvin Kirchhöfer,ART Grand Prix,1:34.231,4
5,11,Jimmy Eriksson,Koiranen GP,1:34.359,5
6,12,Matt Parry,Koiranen GP,1:34.522,6
7,24,Álex Palou,Campos Racing,1:34.526,7
8,1,Antonio Fuoco,Carlin,1:34.571,8
9,14,Kevin Ceccon,Arden International,1:34.744,9
10,20,Pål Varhaug,Arden International,1:34.745,10
11,3,Mitchell Gilbert,Carlin,1:34.751,11
12,21,Matheo Tuscher,Jenzer Motorsport,1:34.766,12
13,7,Seb Morris,Status Grand Prix,1:34.873,13
14,22,Ralph Boschung,Jenzer Motorsport,1:35.001,14
15,26,Artur Janosz,Trident,1:35.008,15
16,8,Alex Fontana,Status Grand Prix,1:35.071,16
17,9,Sandy Stuvik,Status Grand Prix,1:35.091,17
18,2,Jann Mardenborough,Carlin,1:35.108,18
19,10,Adderly Fong,Koiranen GP,1:35.255,19
20,23,Zaid Ashkanani,Campos Racing,1:36.140,20
21,16,Aleksander Bosak,Arden International,1:36.235,21
22,25,Samin Gómez,Campos Racing,1:37.164,22
23,4,Alfonso Celis Jr.,ART Grand Prix,,23
