Pos.,No.,Driver,Team,Time,Grid
1,27,Luca Ghiotto,Trident,1:19.350,1
2,6,Esteban Ocon,ART Grand Prix,1:19.555,2
3,24,Álex Palou,Campos Racing,1:19.624,3
4,5,Marvin Kirchhöfer,ART Grand Prix,1:19.803,4
5,15,Emil Bernstorff,Arden International,1:19.823,5
6,12,Matt Parry,Koiranen GP,1:19.877,6
7,9,Sandy Stuvik,Status Grand Prix,1:19.970,7
8,1,Antonio Fuoco,Carlin,1:19.977,8
9,11,Jimmy Eriksson,Koiranen GP,1:20.127,9
10,3,Mitchell Gilbert,Carlin,1:20.130,10
11,22,Ralph Boschung,Jenzer Motorsport,1:20.144,11
12,2,Jann Mardenborough,Carlin,1:20.175,12
13,21,Matheo Tuscher,Jenzer Motorsport,1:20.296,13
14,4,"Alfonso Celis, Jr.",ART Grand Prix,1:20.333,14
15,8,Alex Fontana,Status Grand Prix,1:20.346,15
16,26,Artur Janosz,Trident,1:20.379,16
17,28,Oscar Tunjo,Trident,1:20.399,17
18,14,Kevin Ceccon,Arden International,1:20.404,18
19,20,Pal Varhaug,Jenzer Motorsport,1:20.431,19
20,10,Adderly Fong,Koiranen GP,1:20.776,20
21,7,Seb Morris,Trident,1:20.787,21
22,8,Zaid Ashkanani,Campos Racing,1:20.927,22
23,16,Aleksander Bosak,Arden International,1:21.172,23
24,25,Samin Gomez,Campos Racing,1:21.770,24
