Pos,No,Driver,Team,Time,Grid
1,27,Luca Ghiotto,Trident,1:35.469,1
2,6,Esteban Ocon,ART Grand Prix,1:35.608,2
3,15,Emil Bernstorff,Arden International,1:35.800,3
4,24,Álex Palou,Campos Racing,1:35.846,4
5,21,Mathéo Tuscher,Jenzer Motorsport,1:35.909,5
6,5,Marvin Kirchhöfer,ART Grand Prix,1:35.934,6
7,4,Alfonso Celis Jr.,ART Grand Prix,1:35.943,7
8,28,Óscar Tunjo,Trident,1:36.047,8
9,20,Pål Varhaug,Jenzer Motorsport,1:36.082,9
10,11,Jimmy Eriksson,Koiranen GP,1:36.134,10
11,3,Mitchell Gilbert,Carlin,1:36.143,11
12,22,Ralph Boschung,Jenzer Motorsport,1:36.160,12
13,10,Adderly Fong,Koiranen GP,1:36.213,13
14,8,Alex Fontana,Status Grand Prix,1:36.284,14
15,2,Jann Mardenborough,Carlin,1:36.305,15
16,12,Matt Parry,Koiranen GP,1:36.403,16
17,26,Artur Janosz,Trident,1:36.478,17
18,9,Sandy Stuvik,Status Grand Prix,1:36.534,18
19,14,Kevin Ceccon,Arden International,1:36.593,19
20,7,Seb Morris,Status Grand Prix,1:36.634,20
21,1,Antonio Fuoco,Carlin,1:36.785,21
22,23,Zaid Ashkanani,Campos Racing,1:37.288,22
23,16,Aleksander Bosak,Arden International,1:37.549,23
24,25,Samin Gómez,Campos Racing,1:38.409,24
