Team,No.,Driver name,Rounds
ART Grand Prix,1,Alex Fontana,All
ART Grand Prix,2,Marvin Kirchhöfer,All
ART Grand Prix,3,Dino Zamparelli,All
Arden International,4,Robert Vișoiu,All
Arden International,5,Patric Niederhauser,All
Arden International,6,Jann Mardenborough,All
Koiranen GP,7,Carmen Jordá,1–7
Koiranen GP,7,Dean Stoneman,8–9
Koiranen GP,8,Jimmy Eriksson,All
Koiranen GP,9,Santiago Urrutia,All
Carlin,10,Alex Lynn,All
Carlin,11,Emil Bernstorff,All
Carlin,12,Luís Sá Silva,All
Marussia Manor Racing,14,Patrick Kujala,1–7
Marussia Manor Racing,15,Ryan Cullen,1–7
Marussia Manor Racing,16,Dean Stoneman,1–7
Hilmer Motorsport,17,Ivan Taranov,1
Hilmer Motorsport,17,Nikolay Martsenko,"2, 8"
Hilmer Motorsport,17,Sebastian Balthasar,3–7
Hilmer Motorsport,18,Nelson Mason,All
Hilmer Motorsport,19,Beitske Visser,1
Hilmer Motorsport,19,Riccardo Agostini,2–9
Jenzer Motorsport,20,Pål Varhaug,All
Jenzer Motorsport,21,Mathéo Tuscher,All
Jenzer Motorsport,22,Adderly Fong,1–4
Jenzer Motorsport,22,Christopher Höher,5
Jenzer Motorsport,22,Kevin Ceccon,6–9
Trident,23,Victor Carbone,1–4
Trident,23,Konstantin Tereshchenko,6
Trident,23,Luca Ghiotto,7
Trident,23,Kang Ling,9
Trident,24,Roman de Beer,1–5
Trident,24,John Bryant-Meisner,6–7
Trident,24,Patrick Kujala,8
Trident,24,Ryan Cullen,9
Trident,25,Denis Nagulin,1
Trident,25,Mitchell Gilbert,"3–5, 7–8"
Trident,25,Luca Ghiotto,6
Trident,25,Patrick Kujala,9
Status Grand Prix,26,Nick Yelloly,All
Status Grand Prix,27,Richie Stanaway,All
Status Grand Prix,28,Alfonso Celis Jr.,All
