Team,No.,Driver name,Rounds
ART Grand Prix[6],1,Alexander Rossi[7],All
ART Grand Prix[6],2,Esteban Gutiérrez[7],All
ART Grand Prix[6],3,Pedro Nunes[7],All
Status Grand Prix[6][a],4,Robert Wickens[8],All
Status Grand Prix[6][a],5,Ivan Lukashevich[9],All
Status Grand Prix[6][a],6,Daniel Morad[10],All
Manor Racing[6],7,James Jakes[11],"1–5, 8"
Manor Racing[6],Adrien Tambay[12],6–7,
Manor Racing[6],8,Rio Haryanto[13],All
Manor Racing[6],9,Adrian Quaife-Hobbs[10],All
RSC Mücke Motorsport[14],10,Nigel Melker[14],All
RSC Mücke Motorsport[14],11,Renger van der Zande[15],All
RSC Mücke Motorsport[14],12,Tobias Hegewald[16],All
Carlin[17],14,Josef Newgarden[18],All
Carlin[17],15,Dean Smith[19],All
Carlin[17],16,Lucas Foresti[20],"1, 3–5, 8"
Carlin[17],Mikhail Aleshin[21],2,
Carlin[17],António Félix da Costa[22],6–7,
Addax Team[6],17,Felipe Guimarães[23],All
Addax Team[6],18,Pablo Sánchez López[24],All
Addax Team[6],19,Mirko Bortolotti[25],All
MW Arden[6][b],20,Michael Christensen[26],All
MW Arden[6][b],21,Miki Monrás[27],All
MW Arden[6][b],22,Leonardo Cordeiro[28],All
Jenzer Motorsport[6],23,Pål Varhaug[24],All
Jenzer Motorsport[6],24,Simon Trummer[29],"1–5, 7–8"
Jenzer Motorsport[6],Marco Barba[30],6,
Jenzer Motorsport[6],25,Nico Müller[31],All
Tech 1 Racing[6],26,Doru Sechelariu[32],All
Tech 1 Racing[6],27,Daniel Juncadella[33],1
Tech 1 Racing[6],Stefano Coletti[34],2–8,
Tech 1 Racing[6],28,Jean-Éric Vergne[10],"1, 3"
Tech 1 Racing[6],Jim Pla[34],2,
Tech 1 Racing[6],Daniel Juncadella[35],"4–5, 7–8",
AtechCRS GP[36],29,Patrick Reiterer[10],1–2
AtechCRS GP[36],Roberto Merhi[37],3–8,
AtechCRS GP[36],30,Oliver Oakes[38],All
AtechCRS GP[36],31,Vittorio Ghirelli[10],All
