Pos.,No.,Driver,Team,Time,Grid
1,23,Johnny Cecotto Jr.,Trident Racing,1:15:312,1
2,7,Jolyon Palmer,DAMS,1:15.352,2
3,3,Felipe Nasr,Carlin,1:15.358,3
4,6,Stefano Coletti,Racing Engineering,1:15.443,4
5,5,Raffaele Marciello,Racing Engineering,1:15.449,5
6,10,Stoffel Vandoorne,ART Grand Prix,1:15.481,6
7,26,Arthur Pic,Campos Racing,1:15.608,7
8,1,Mitch Evans,RT Russian Time,1:15.614,8
9,19,Alexander Rossi,EQ8 Caterham Racing,1:15.644,9
10,8,Stéphane Richelmi,DAMS,1:15.664,10
11,17,André Negrão,Arden International,1:15.773,11
12,4,Julián Leal,Carlin,1:15.784,12
13,18,Rio Haryanto,EQ8 Caterham Racing,1:15.811,13
14,14,Adrian Quaife-Hobbs,Rapax,1:15:927,14
15,21,Tio Ellinas,MP Motorsport,1:15.964,15
16,22,Sergio Canamasas,Trident Racing,1:16.034,16
17,9,Takuya Izawa,ART Grand Prix,1:16.092,17
18,2,Artem Markelov,RT Russian Time,1:16.136,18
19,11,Daniel Abt,Hilmer Motorsport,1:16.246,19
20,27,Kimiya Sato,Campos Racing,1:16.274,20
21,16,René Binder,Arden International,1:16.331,21
22,20,Daniël de Jong,MP Motorsport,1:16.334,22
23,12,Facu Regalia,Hilmer Motorsport,1:16.497,23
24,15,Simon Trummer,Rapax,1:16.531,24
25,25,Conor Daly,Venezuela GP Lazarus,1:16.539,25
26,24,Nathanaël Berthon,Venezuela GP Lazarus,1:16.654,26
