Pos.,No.,Driver,Team,Time,Grid
1,7,Jolyon Palmer,DAMS,1:23.383,1
2,10,Stoffel Vandoorne,ART Grand Prix,1:23.665,2
3,6,Stefano Coletti,Racing Engineering,1:23.722,3
4,19,Tom Dillmann,EQ8 Caterham Racing,1:23.776,4
5,3,Felipe Nasr,Carlin,1:23.781,5
6,26,Arthur Pic,Campos Racing,1:23.859,6
7,23,Johnny Cecotto Jr.,Trident Racing,1:23.860,7
8,5,Raffaele Marciello,Racing Engineering,1:23.918,8
9,27,Alexander Rossi,Campos Racing,1:23.965,9
10,15,Simon Trummer,Rapax,1:23.983,10
11,8,Stéphane Richelmi,DAMS,1:24.024,11
12,16,René Binder,Arden International,1:24.094,12
13,24,Nathanaël Berthon,Venezuela GP Lazarus,1:24.253,13
14,11,Daniel Abt,Hilmer Motorsport,1:24.311,14
15,1,Mitch Evans,RT Russian Time,1:24.335,15
16,9,Takuya Izawa,ART Grand Prix,1:24.335,16
17,4,Julián Leal,Carlin,1:24.421,17
18,25,Conor Daly,Venezuela GP Lazarus,1:24.437,18
19,12,Jon Lancaster,Hilmer Motorsport,1:24.453,19
20,17,André Negrão,Arden International,1:24.476,20
21,2,Artem Markelov,RT Russian Time,1:24.496,21
22,18,Rio Haryanto,EQ8 Caterham Racing,1:24.502,22
23,14,Adrian Quaife-Hobbs,Rapax,1:24.590,23
24,22,Sergio Canamasas,Trident Racing,1:24.598,24
25,21,Marco Sørensen,MP Motorsport,1:24.888,25
26,20,Daniël de Jong,MP Motorsport,1:25.189,26
