Pos.,No.,Driver,Team,Time,Grid
1,5,Raffaele Marciello,Racing Engineering,1:40.445,1
2,7,Jolyon Palmer,DAMS,1:40.472,2
3,1,Mitch Evans,RT Russian Time,1:40.478,3
4,4,Julián Leal,Carlin,1:40.484,4
5,10,Stoffel Vandoorne,ART Grand Prix,1:40.646,5
6,3,Felipe Nasr,Carlin,1:40.658,6
7,21,Marco Sørensen,MP Motorsport,1:40.658,7
8,8,Stéphane Richelmi,DAMS,1:40.762,8
9,23,Johnny Cecotto Jr.,Trident Racing,1:40.845,9
10,11,Daniel Abt,Hilmer Motorsport,1:40.880,10
11,6,Stefano Coletti,Racing Engineering,1:40.885,11
12,26,Arthur Pic,Campos Racing,1:40.961,12
13,15,Simon Trummer,Rapax,1:41.064,13
14,18,Rio Haryanto,EQ8 Caterham Racing,1:41.166,14
15,22,Sergio Canamasas,Trident Racing,1:41.196,15
16,19,Alexander Rossi,EQ8 Caterham Racing,1:41.235,16
17,14,Adrian Quaife-Hobbs,Rapax,1:41.252,17
18,20,Daniël de Jong,MP Motorsport,1:41.330,18
19,24,Nathanaël Berthon,Venezuela GP Lazarus,1:41.362,19
20,12,Jon Lancaster,Hilmer Motorsport,1:41.362,20
21,25,Conor Daly,Venezuela GP Lazarus,1:41.556,21
22,27,Kimiya Sato,Campos Racing,1:41.686,22
23,17,André Negrão,Arden International,1:41.908,23
24,9,Takuya Izawa,ART Grand Prix,1:42.003,24
25,16,René Binder,Arden International,1:42.373,25
26,2,Artem Markelov,RT Russian Time,1:42.724,26
