Pos.,No.,Driver,Team,Time,Grid
1,10,Stoffel Vandoorne,ART Grand Prix,1:31.707,1
2,26,Arthur Pic,Campos Racing,1:31.926,2
3,1,Mitch Evans,Russian Time,1:31.934,3
4,7,Jolyon Palmer,DAMS,1:32.010,26
5,5,Raffaele Marciello,Racing Engineering,1:32.124,4
6,15,Simon Trummer,Rapax,1:32.137,5
7,8,Stéphane Richelmi,DAMS,1:32.150,6
8,3,Felipe Nasr,Carlin,1:32.310,7
9,4,Julián Leal,Carlin,1:32.343,8
10,17,André Negrão,Arden International,1:32.354,9
11,18,Rio Haryanto,Caterham Racing,1:32.361,10
12,11,Daniel Abt,Hilmer Motorsport,1:32.385,11
13,6,Stefano Coletti,Racing Engineering,1:32.412,12
14,27,Kimiya Satō,Campos Racing,1:32.413,13
15,21,Marco Sørensen,MP Motorsport,1:32.419,14
16,12,Jon Lancaster,Hilmer Motorsport,1:32.422,15
17,9,Takuya Izawa,ART Grand Prix,1:32.435,16
18,20,Daniël de Jong,MP Motorsport,1:32.473,17
19,16,René Binder,Arden International,1:32.483,18
20,14,Adrian Quaife-Hobbs,Rapax,1:32.486,19
21,23,Johnny Cecotto Jr.,Trident,1:32.533,23
22,22,Sergio Canamasas,Trident,1:32.624,20
23,19,Pierre Gasly,Caterham Racing,1:32.826,21
24,2,Artem Markelov,Russian Time,1:32.881,22
25,24,Nathanaël Berthon,Venezuela GP Lazarus,1:32.912,24
26,25,Sergio Campana,Venezuela GP Lazarus,1:33.409,25
