Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,77,Valtteri Bottas,Mercedes,1:42.026,1:41.500,1:40.495,1
2,44,Lewis Hamilton,Mercedes,1:41.614,1:41.580,1:40.554,2
3,5,Sebastian Vettel,Ferrari,1:42.042,1:41.889,1:40.797,3
4,33,Max Verstappen,Red Bull Racing-Honda,1:41.727,1:41.388,1:41.069,4
5,11,Sergio Pérez,Racing Point-BWT Mercedes,1:42.249,1:41.870,1:41.593,5
6,26,Daniil Kvyat,Scuderia Toro Rosso-Honda,1:42.324,1:42.221,1:41.681,6
7,4,Lando Norris,McLaren-Renault,1:42.371,1:42.084,1:41.886,7
8,99,Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:42.140,1:42.381,1:42.424,17
9,16,Charles Leclerc,Ferrari,1:41.426,1:41.995,No time,8
10,55,Carlos Sainz Jr.,McLaren-Renault,1:41.936,1:42.398,N/A,9
11,3,Daniel Ricciardo,Renault,1:42.486,1:42.477,N/A,10
12,23,Alexander Albon,Scuderia Toro Rosso-Honda,1:42.154,1:42.494,N/A,11
13,20,Kevin Magnussen,Haas-Ferrari,1:42.382,1:42.699,N/A,12
14,18,Lance Stroll,Racing Point-BWT Mercedes,1:42.630,N/A,N/A,13
15,8,Romain Grosjean,Haas-Ferrari,1:43.407,N/A,N/A,14
16,27,Nico Hülkenberg,Renault,1:43.427,N/A,N/A,15
17,63,George Russell,Williams-Mercedes,1:45.062,N/A,N/A,16
18,88,Robert Kubica,Williams-Mercedes,1:45.455,N/A,N/A,PL
EX,7,Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:42.059,1:42.082,1:43.068,PL
EX,10,Pierre Gasly,Red Bull Racing-Honda,1:41.335,No time,N/A,PL
