Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:35.851,1:35.634,1:34.779,1
2,77,Valtteri Bottas,Mercedes,1:36.200,1:35.674,1:34.973,20
3,33,Max Verstappen,Red Bull Racing-Honda,1:36.390,1:36.275,1:35.139,2
4,16,Charles Leclerc,Ferrari,1:36.478,1:35.543,1:35.219,3
5,5,Sebastian Vettel,Ferrari,1:36.963,1:35.786,1:35.339,4
6,23,Alexander Albon,Red Bull Racing-Honda,1:36.102,1:36.718,1:35.682,5
7,4,Lando Norris,McLaren-Renault,1:37.545,1:36.764,1:36.436,6
8,3,Daniel Ricciardo,Renault,1:37.106,1:36.785,1:36.456,7
9,55,Carlos Sainz Jr.,McLaren-Renault,1:37.358,1:36.308,1:36.459,8
10,27,Nico Hülkenberg,Renault,1:37.506,1:36.859,1:36.710,9
11,11,Sergio Pérez,Racing Point-BWT Mercedes,1:36.961,1:37.055,N/A,10
12,10,Pierre Gasly,Scuderia Toro Rosso-Honda,1:37.198,1:37.089,N/A,11
13,18,Lance Stroll,Racing Point-BWT Mercedes,1:37.528,1:37.103,N/A,12
14,26,Daniil Kvyat,Scuderia Toro Rosso-Honda,1:37.683,1:37.141,N/A,13
15,20,Kevin Magnussen,Haas-Ferrari,1:37.710,1:37.254,N/A,14
16,8,Romain Grosjean,Haas-Ferrari,1:38.051,N/A,N/A,15
17,99,Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:38.114,N/A,N/A,16
18,7,Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:38.383,N/A,N/A,17
19,63,George Russell,Williams-Mercedes,1:38.717,N/A,N/A,18
20,88,Robert Kubica,Williams-Mercedes,1:39.236,N/A,N/A,19
