Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,16,Charles Leclerc,Ferrari,1:04.138,1:03.378,1:03.003,1
2,44,Lewis Hamilton,Mercedes,1:03.818,1:03.803,1:03.262,4
3,33,Max Verstappen,Red Bull Racing-Honda,1:03.807,1:03.835,1:03.439,2
4,77,Valtteri Bottas,Mercedes,1:04.084,1:03.863,1:03.537,3
5,20,Kevin Magnussen,Haas-Ferrari,1:04.778,1:04.466,1:04.072,10
6,4,Lando Norris,McLaren-Renault,1:04.361,1:04.211,1:04.099,5
7,7,Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:04.615,1:04.056,1:04.166,6
8,99,Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:04.450,1:04.194,1:04.179,7
9,10,Pierre Gasly,Red Bull Racing-Honda,1:04.412,1:03.988,1:04.199,8
10,5,Sebastian Vettel,Ferrari,1:04.340,1:03.667,No time,9
11,8,Romain Grosjean,Haas-Ferrari,1:04.552,1:04.490,N/A,11
12,27,Nico Hülkenberg,Renault,1:04.733,1:04.516,N/A,15
13,23,Alexander Albon,Scuderia Toro Rosso-Honda,1:04.708,1:04.665,N/A,18
14,3,Daniel Ricciardo,Renault,1:04.647,1:04.790,N/A,12
15,55,Carlos Sainz Jr.,McLaren-Renault,1:04.453,1:13.601,N/A,19
16,11,Sergio Pérez,Racing Point-BWT Mercedes,1:04.789,N/A,N/A,13
17,18,Lance Stroll,Racing Point-BWT Mercedes,1:04.832,N/A,N/A,14
18,26,Daniil Kvyat,Scuderia Toro Rosso-Honda,1:05.324,N/A,N/A,16
19,63,George Russell,Williams-Mercedes,1:05.904,N/A,N/A,PL
20,88,Robert Kubica,Williams-Mercedes,1:06.206,N/A,N/A,17
