Pos.,No.,Driver,Team,Q1,Q2,Q3,Grid
1,16,Charles Leclerc,Ferrari,1:33.613,1:32.434,1:31.628,1
2,44,Lewis Hamilton,Mercedes,1:33.230,1:33.134,1:32.030,2
3,5,Sebastian Vettel,Ferrari,1:33.032,1:32.536,1:32.053,3
4,33,Max Verstappen,Red Bull Racing-Honda,1:33.368,1:32.634,1:32.310,9
5,77,Valtteri Bottas,Mercedes,1:33.413,1:33.281,1:32.632,4
6,55,Carlos Sainz Jr.,McLaren-Renault,1:34.184,1:33.807,1:33.222,5
7,27,Nico Hülkenberg,Renault,1:34.236,1:33.898,1:33.289,6
8,4,Lando Norris,McLaren-Renault,1:34.201,1:33.725,1:33.301,7
9,8,Romain Grosjean,Haas-Ferrari,1:34.283,1:33.643,1:33.517,8
10,3,Daniel Ricciardo,Renault,1:34.138,1:33.862,1:33.661,10
11,10,Pierre Gasly,Scuderia Toro Rosso-Honda,1:34.456,1:33.950,N/A,16
12,11,Sergio Pérez,Racing Point-BWT Mercedes,1:34.336,1:33.958,N/A,11
13,99,Antonio Giovinazzi,Alfa Romeo Racing-Ferrari,1:34.755,1:34.037,N/A,12
14,20,Kevin Magnussen,Haas-Ferrari,1:33.889,1:34.082,N/A,13
15,18,Lance Stroll,Racing Point-BWT Mercedes,1:34.287,1:34.233,N/A,14
16,7,Kimi Räikkönen,Alfa Romeo Racing-Ferrari,1:34.840,N/A,N/A,15
17,63,George Russell,Williams-Mercedes,1:35.356,N/A,N/A,17
18,88,Robert Kubica,Williams-Mercedes,1:36.474,N/A,N/A,18
19,23,Alexander Albon,Red Bull Racing-Honda,1:39.197,N/A,N/A,PL
—,26,Daniil Kvyat,Scuderia Toro Rosso-Honda,No time,N/A,N/A,19
