Pos.,No.,Driver,Team,Time,Grid
1,1,Dino Beganovic,Prema Racing,1:46.431,1
2,14,Luke Browning,Hitech Pulse-Eight,1:46.598,2
3,2,Gabriele Minì,Prema Racing,1:46.601,3
4,5,Sami Meguetounif,Trident,1:46.795,4
5,6,Santiago Ramos,Trident,1:46.798,5
6,4,Leonardo Fornaroli,Trident,1:46.805,6
7,7,Tim Tramnitz,MP Motorsport,1:46.828,7
8,23,Christian Mansell,ART Grand Prix,1:46.843,8
9,3,Arvid Lindblad,Prema Racing,1:46.873,9
10,18,Max Esterson,Jenzer Motorsport,1:46.934,10
11,25,Nikola Tsolov,ART Grand Prix,1:46.941,11
12,24,Laurens van Hoepen,ART Grand Prix,1:46.962,12
13,20,Noel León,Van Amersfoort Racing,1:47.031,13
14,9,Alex Dunne,MP Motorsport,1:47.133,14
15,12,Mari Boya,Campos Racing,1:47.170,15
16,17,Charlie Wurz,Jenzer Motorsport,1:47.191,16
17,10,Oliver Goethe,Campos Racing,1:47.198,17
18,27,Nikita Bedrin,PHM AIX Racing,1:47.209,18
19,29,Callum Voisin,Rodin Motorsport,1:47.216,19
20,19,Matías Zagazeta,Jenzer Motorsport,1:47.217,25
21,31,Joseph Loake,Rodin Motorsport,1:47.219,20
22,15,Martinius Stenshorne,Hitech Pulse-Eight,1:47.471,21
23,26,Tasanapol Inthraphuvasak,PHM AIX Racing,1:47.735,22
24,8,Kacper Sztuka,MP Motorsport,1:47.745,23
25,21,Sophia Flörsch,Van Amersfoort Racing,1:47.812,24
26,28,Joshua Dufek,PHM AIX Racing,1:47.878,26
27,22,Tommy Smith,Van Amersfoort Racing,1:47.929,27
28,30,Piotr Wiśnicki,Rodin Motorsport,1:47.971,28
29,11,Sebastián Montoya,Campos Racing,1:48.358,29
30,16,Cian Shields,Hitech Pulse-Eight,1:48.565,30
