Pos.,No.,Driver,Team,Time,Grid
1,4,Leonardo Fornaroli,Trident,1:33.044,1
2,2,Gabriele Minì,Prema Racing,1:33.063,2
3,1,Dino Beganovic,Prema Racing,1:33.344,3
4,27,Nikita Bedrin,PHM AIX Racing,1:33.389,4
5,14,Luke Browning,Hitech Pulse-Eight,1:33.435,5
6,12,Mari Boya,Campos Racing,1:33.571,6
7,25,Nikola Tsolov,ART Grand Prix,1:33.584,7
8,3,Arvid Lindblad,Prema Racing,1:33.716,8
9,10,Oliver Goethe,Campos Racing,1:33.767,9
10,23,Christian Mansell,ART Grand Prix,1:33.969,10
11,15,Martinius Stenshorne,Hitech Pulse-Eight,1:34.095,11
12,24,Laurens van Hoepen,ART Grand Prix,1:34.108,12
13,28,Joshua Dufek,PHM AIX Racing,1:34.287,13
14,17,Charlie Wurz,Jenzer Motorsport,1:34.312,14
15,11,Sebastián Montoya,Campos Racing,1:34.323,15
16,20,Noel León,Van Amersfoort Racing,1:34.358,16
17,9,Alex Dunne,MP Motorsport,1:34.421,17
18,6,Santiago Ramos,Trident,1:34.464,18
19,8,Kacper Sztuka,MP Motorsport,1:34.485,19
20,18,Max Esterson,Jenzer Motorsport,1:34.487,20
21,19,Matías Zagazeta,Jenzer Motorsport,1:34.517,21
22,7,Tim Tramnitz,MP Motorsport,1:34.527,22
23,29,Callum Voisin,Rodin Motorsport,1:34.773,23
24,26,Tasanapol Inthraphuvasak,PHM AIX Racing,1:34.865,24
25,21,Sophia Flörsch,Van Amersfoort Racing,1:34.902,25
26,5,Sami Meguetounif,Trident,1:35.062,26
27,30,Piotr Wiśnicki,Rodin Motorsport,1:35.413,27
28,16,Cian Shields,Hitech Pulse-Eight,1:35.519,28
29,31,Joseph Loake,Rodin Motorsport,1:35.700,29
30,22,Tommy Smith,Van Amersfoort Racing,1:36.799,30
