Pos.,No.,Driver,Team,Time,Grid
1,29,Callum Voisin,Rodin Motorsport,2:04.321,1
2,9,Alex Dunne,MP Motorsport,2:04.444,2
3,4,Leonardo Fornaroli,Trident,2:04.453,3
4,11,Sebastián Montoya,Campos Racing,2:04.521,4
5,20,Noel León,Van Amersfoort Racing,2:04.545,5
6,18,Max Esterson,Jenzer Motorsport,2:04.545,6
7,14,Luke Browning,Hitech Pulse-Eight,2:04.573,7
8,5,Sami Meguetounif,Trident,2:04.617,8
9,7,Tim Tramnitz,MP Motorsport,2:04.620,9
10,6,Santiago Ramos,Trident,2:04.629,10
11,2,Gabriele Minì,Prema Racing,2:04.660,11
12,1,Dino Beganovic,Prema Racing,2:04.736,12
13,25,Tuukka Taponen,ART Grand Prix,2:04.758,13
14,10,Oliver Goethe,Campos Racing,2:04.760,14
15,24,Laurens van Hoepen,ART Grand Prix,2:04.900,15
16,27,Nikita Bedrin,AIX Racing,2:04.900,16
17,19,Matías Zagazeta,Jenzer Motorsport,2:05.017,17
18,31,Joseph Loake,Rodin Motorsport,2:05.232,18
19,21,Sophia Flörsch,Van Amersfoort Racing,2:05.344,19
20,23,Christian Mansell,ART Grand Prix,2:05.348,20
21,15,Martinius Stenshorne,Hitech Pulse-Eight,2:05.378,21
22,12,Mari Boya,Campos Racing,2:05.502,22
23,30,Piotr Wiśnicki,Rodin Motorsport,2:05.511,23
24,28,Joshua Dufek,AIX Racing,2:05.632,24
25,22,Tommy Smith,Van Amersfoort Racing,2:05.779,25
26,16,Cian Shields,Hitech Pulse-Eight,2:05.990,26
27,3,Arvid Lindblad,Prema Racing,2:06.134,27
28,17,Charlie Wurz,Jenzer Motorsport,2:06.248,28
29,26,Tasanapol Inthraphuvasak,AIX Racing,2:06.297,29
30,8,Kacper Sztuka,MP Motorsport,2:06.308,30
