Pos.,No.,Driver,Team,Time,Grid
1,14,Luke Browning,Hitech Pulse-Eight,1:44.992,1
2,18,Max Esterson,Jenzer Motorsport,1:45.037,2
3,5,Sami Meguetounif,Trident,1:45.084,3
4,4,Leonardo Fornaroli,Trident,1:45.265,4
5,24,Laurens van Hoepen,ART Grand Prix,1:45.286,5
6,17,Charlie Wurz,Jenzer Motorsport,1:45.312,6
7,23,Christian Mansell,ART Grand Prix,1:45.374,7
8,25,Nikola Tsolov,ART Grand Prix,1:45.394,8
9,29,Callum Voisin,Rodin Motorsport,1:45.397,9
10,19,Matías Zagazeta,Jenzer Motorsport,1:45.405,10
11,3,Arvid Lindblad,Prema Racing,1:45.426,11
12,20,Noel León,Van Amersfoort Racing,1:45.475,12
13,9,Alex Dunne,MP Motorsport,1:45.545,13
14,2,Gabriele Minì,Prema Racing,1:45.562,14
15,10,Oliver Goethe,Campos Racing,1:45.628,15
16,31,Joseph Loake,Rodin Motorsport,1:45.779,16
17,11,Sebastián Montoya,Campos Racing,1:45.784,17
18,6,Santiago Ramos,Trident,1:45.809,18
19,1,Dino Beganovic,Prema Racing,1:45.818,19
20,8,Kacper Sztuka,MP Motorsport,1:46.032,20
21,7,Tim Tramnitz,MP Motorsport,1:46.184,21
22,12,Mari Boya,Campos Racing,1:46.429,22
23,16,Cian Shields,Hitech Pulse-Eight,1:46.477,23
24,4,Nikita Bedrin,AIX Racing,1:46.495,24
25,21,Sophia Flörsch,Van Amersfoort Racing,1:46.584,25
26,22,Tommy Smith,Van Amersfoort Racing,1:46.619,26
27,15,James Wharton,Hitech Pulse-Eight,1:46.773,27
28,26,Tasanapol Inthraphuvasak,AIX Racing,1:46.864,28
29,28,Joshua Dufek,AIX Racing,1:46.973,29
30,30,Piotr Wiśnicki,Rodin Motorsport,1:47.870,30
