Pos.,No.,Driver,Team,Time,Grid
1,4,Leonardo Fornaroli,Trident,1:38.287,1
2,9,Alex Dunne,MP Motorsport,1:38.818,2
3,2,Gabriele Minì,Prema Racing,1:38.543,3
4,5,Sami Meguetounif,Trident,1:38.860,4
5,6,Santiago Ramos,Trident,1:38.704,5
6,11,Sebastián Montoya,Campos Racing,1:38.899,6
7,28,Joshua Dufek,AIX Racing,1:38.832,7
8,23,Christian Mansell,ART Grand Prix,1:38.905,8
9,12,Mari Boya,Campos Racing,1:38.872,9
10,1,Dino Beganovic,Prema Racing,1:38.956,10
11,26,Tasanapol Inthraphuvasak,AIX Racing,1:39.115,11
12,7,Tim Tramnitz,MP Motorsport,1:38.959,12
13,14,Luke Browning,Hitech Pulse-Eight,1:39.124,13
14,31,Joseph Loake,Rodin Motorsport,1:39.020,14
15,30,Piotr Wiśnicki,Rodin Motorsport,1:39.273,15
16,25,Nikola Tsolov,ART Grand Prix,1:39.129,16
17,20,Noel León,Van Amersfoort Racing,1:39.350,17
18,3,Arvid Lindblad,Prema Racing,1:39.219,18
19,18,Max Esterson,Jenzer Motorsport,1:39.494,19
20,15,Martinius Stenshorne,Hitech Pulse-Eight,1:39.273,20
21,16,Cian Shields,Hitech Pulse-Eight,1:39.717,21
22,29,Callum Voisin,Rodin Motorsport,1:39.294,22
23,10,Noah Strømsted,Campos Racing,1:25.995,23
24,27,Nikita Bedrin,AIX Racing,1:39.321,24
25,22,Tommy Smith,Van Amersfoort Racing,1:40.216,25
26,17,Charlie Wurz,Jenzer Motorsport,1:39.409,26
27,24,Laurens van Hoepen,ART Grand Prix,No time set,29
28,21,Sophia Flörsch,Van Amersfoort Racing,1:39.550,27
29,8,Kacper Sztuka,MP Motorsport,No time set,PL
30,19,Matías Zagazeta,Jenzer Motorsport,2:45.165,28
