Pos.,No.,Driver,Team,Time/Gap,Grid
1,2,Roman Staněk,Trident,1:33.516,1
2,7,Victor Martins,ART Grand Prix,+0.052,2
3,11,Alexander Smolyar,MP Motorsport,+0.097,3
4,18,Isack Hadjar,Hitech Grand Prix,+0.210,4
5,4,Arthur Leclerc,Prema Racing,+0.215,5
6,6,Oliver Bearman,Prema Racing,+0.231,6
7,10,Caio Collet,MP Motorsport,+0.234,7
8,17,Kaylen Frederick,Hitech Grand Prix,+0.289,8
9,5,Jak Crawford,Prema Racing,+0.309,9
10,9,Juan Manuel Correa,ART Grand Prix,+0.341,10
11,20,David Vidales,Campos Racing,+0.357,11
12,3,Zane Maloney,Trident,+0.410,PL1
13,29,Franco Colapinto,Van Amersfoort Racing,+0.447,12
14,8,Grégoire Saucy,ART Grand Prix,+0.524,13
15,1,Oliver Rasmussen,Trident,+0.525,14
16,22,Pepe Martí,Campos Racing,+0.601,15
17,31,Reece Ushijima[a],Van Amersfoort Racing,+0.664,16
18,30,Rafael Villagómez,Van Amersfoort Racing,+0.801,17
19,26,Zak O'Sullivan,Carlin,+0.804,18
20,21,Hunter Yeany,Campos Racing,+0.826,19
21,25,William Alatalo,Jenzer Motorsport,+1.052,20
22,15,Lirim Zendeli,Charouz Racing System,+1.170,21
23,12,Kush Maini,MP Motorsport,+1.219,22
24,19,Nazim Azman,Hitech Grand Prix,+1.279,23
25,23,Ido Cohen,Jenzer Motorsport,+1.350,24
26,28,Enzo Trulli,Carlin,+1.457,25
27,24,Federico Malvestiti,Jenzer Motorsport,+1.580,26
28,27,Brad Benavides[b],Carlin,+1.821,27
29,16,Francesco Pizzi,Charouz Racing System,+2.033,28
30,14,László Tóth,Charouz Racing System,+2.059,29
