Pos.,No.,Driver,Team,Time/Gap,Grid
1,29,Franco Colapinto,Van Amersfoort Racing,1:46.249,1
2,2,Roman Staněk,Trident,+0.065,2
3,12,Kush Maini,MP Motorsport,+0.073,PL1
4,8,Grégoire Saucy,ART Grand Prix,+0.161,3
5,7,Victor Martins,ART Grand Prix,+0.163,4
6,9,Juan Manuel Correa,ART Grand Prix,+0.351,5
7,3,Zane Maloney,Trident,+0.373,6
8,11,Alexander Smolyar,MP Motorsport,+0.393,7
9,18,Isack Hadjar,Hitech Grand Prix,+0.400,8
10,20,David Vidales,Campos Racing,+0.458,9
11,6,Oliver Bearman,Prema Racing,+0.594,10
12,26,Zak O'Sullivan,Carlin,+0.611,11
13,10,Caio Collet,MP Motorsport,+0.696,12
14,4,Arthur Leclerc,Prema Racing,+0.712,13
15,1,Jonny Edgar,Trident,+0.776,14
16,30,Rafael Villagómez,Van Amersfoort Racing,+0.837,15
17,31,Reece Ushijima[a],Van Amersfoort Racing,+0.874,16
18,25,William Alatalo,Jenzer Motorsport,+0.910,17
19,17,Kaylen Frederick,Hitech Grand Prix,+0.958,18
20,22,Pepe Martí,Campos Racing,+1.054,19
21,5,Jak Crawford,Prema Racing,+1.122,20
22,23,Ido Cohen,Jenzer Motorsport,+1.195,21
23,16,Francesco Pizzi,Charouz Racing System,+1.250,22
24,27,Brad Benavides[b],Carlin,+1.317,23
25,24,Niko Kari,Jenzer Motorsport,+1.397,24
26,21,Hunter Yeany,Campos Racing,+1.446,25
27,19,Nazim Azman,Hitech Grand Prix,+1.453,26
28,28,Enzo Trulli,Carlin,+1.547,27
29,15,Ayrton Simmons,Charouz Racing System,+1.760,29
30,14,László Tóth,Charouz Racing System,+2.983,28
