Pos.,No.,Driver,Team,Time/Gap,R1,R2
1,3,Zane Maloney,Trident,1:24.386,12,1
2,7,Victor Martins,ART Grand Prix,+0.289,11,2
3,5,Jak Crawford,Prema Racing,+0.436,10,3
4,2,Roman Staněk,Trident,+0.445,9,4
5,29,Franco Colapinto,Van Amersfoort Racing,+0.469,8,5
6,18,Isack Hadjar,Hitech Grand Prix,+0.643,7,6
7,21,Sebastián Montoya,Campos Racing,+0.652,6,7
8,1,Jonny Edgar,Trident,+0.661,5,8
9,10,Caio Collet,MP Motorsport,+0.786,4,9
10,26,Zak O'Sullivan,Carlin,+0.825,3,10
11,8,Grégoire Saucy,ART Grand Prix,+0.979,2,11
12,9,Juan Manuel Correa,ART Grand Prix,+0.990,1,12
13,12,Kush Maini,MP Motorsport,+1.124,181,13
14,6,Oliver Bearman,Prema Racing,+1.169,13,14
15,27,Brad Benavides[a],Carlin,+1.209,14,15
16,11,Alexander Smolyar,MP Motorsport,+1.232,15,16
17,22,Pepe Martí,Campos Racing,+1.242,16,17
18,17,Kaylen Frederick,Hitech Grand Prix,+1.251,17,18
19,30,Rafael Villagómez,Van Amersfoort Racing,+1.282,19,19
20,4,Arthur Leclerc,Prema Racing,+1.298,20,20
21,16,Francesco Pizzi,Charouz Racing System,+1.376,21,21
22,25,William Alatalo,Jenzer Motorsport,+1.414,22,22
23,31,Reece Ushijima[b],Van Amersfoort Racing,+1.440,23,23
24,28,Enzo Trulli,Carlin,+1.862,24,24
25,23,Ido Cohen,Jenzer Motorsport,+1.865,25,25
26,20,David Vidales,Campos Racing,+2.017,26,26
27,15,David Schumacher,Charouz Racing System,+2.245,27,27
28,24,Federico Malvestiti,Jenzer Motorsport,+2.249,28,28
29,19,Nazim Azman,Hitech Grand Prix,+2.780,29,29
30,14,László Tóth,Charouz Racing System,+4.267,30,30
