Pos.,No.,Driver,Team,Time/Gap,R1,R2
1,18,Isack Hadjar,Hitech Grand Prix,1:19.759,12,1
2,7,Victor Martins,ART Grand Prix,+0.221,11,2
3,6,Oliver Bearman,Prema Racing,+0.299,10,3
4,4,Arthur Leclerc,Prema Racing,+0.310,9,4
5,17,Kaylen Frederick,Hitech Grand Prix,+0.375,8,5
6,2,Roman Staněk,Trident,+0.419,7,6
7,1,Jonny Edgar,Trident,+0.440,6,7
8,3,Zane Maloney,Trident,+0.531,5,8
9,29,Franco Colapinto,Van Amersfoort Racing,+0.538,4,9
10,5,Jak Crawford,Prema Racing,+0.592,3,10
11,9,Juan Manuel Correa,ART Grand Prix,+0.621,2,11
12,10,Caio Collet,MP Motorsport,+0.662,1,12
13,23,Ido Cohen,Jenzer Motorsport,+0.672,13,13
14,25,William Alatalo,Jenzer Motorsport,+0.674,14,14
15,26,Zak O'Sullivan,Carlin,+0.751,15,15
16,11,Alexander Smolyar,MP Motorsport,+0.757,16,16
17,28,Enzo Trulli,Carlin,+0.809,17,17
18,8,Grégoire Saucy,ART Grand Prix,+0.832,18,18
19,20,David Vidales,Campos Racing,+0.848,19,19
20,22,Pepe Martí,Campos Racing,+0.909,20,20
21,31,Reece Ushijima[a],Van Amersfoort Racing,+0.988,21,21
22,19,Nazim Azman,Hitech Grand Prix,+1.023,22,22
23,21,Hunter Yeany,Campos Racing,+1.100,23,23
24,16,Francesco Pizzi,Charouz Racing System,+1.109,24,24
25,30,Rafael Villagómez,Van Amersfoort Racing,+1.168,25,25
26,12,Kush Maini,MP Motorsport,+1.339,26,26
27,27,Brad Benavides[b],Carlin,+1.545,27,27
28,24,Federico Malvestiti,Jenzer Motorsport,+1.611,28,28
29,14,László Tóth,Charouz Racing System,+2.807,29,29
—,15,Zdeněk Chovanec[c],Charouz Racing System,+8.136,301,30
