Pos.,No.,Driver,Team,Time/Gap,R1,R2
1,26,Zak O'Sullivan,Carlin,1:44.597,12,1
2,4,Arthur Leclerc,Prema Racing,+0.027,11,2
3,3,Zane Maloney,Trident,+0.041,10,3
4,10,Caio Collet,MP Motorsport,+0.186,9,4
5,5,Jak Crawford,Prema Racing,+0.208,8,5
6,6,Oliver Bearman,Prema Racing,+0.266,7,6
7,17,Kaylen Frederick,Hitech Grand Prix,+0.279,6,7
8,2,Roman Staněk,Trident,+0.323,5,8
9,18,Isack Hadjar,Hitech Grand Prix,+0.325,4,9
10,12,Kush Maini,MP Motorsport,+0.333,3,10
11,7,Victor Martins,ART Grand Prix,+0.361,2,11
12,31,Reece Ushijima[a],Van Amersfoort Racing,+0.415,1,12
13,20,David Vidales,Campos Racing,+0.431,13,13
14,1,Jonny Edgar,Trident,+0.451,14,14
15,8,Grégoire Saucy,ART Grand Prix,+0.606,15,15
16,9,Juan Manuel Correa,ART Grand Prix,+0.643,16,16
17,29,Franco Colapinto,Van Amersfoort Racing,+0.703,17,17
18,21,Hunter Yeany,Campos Racing,+0.971,18,18
19,16,Francesco Pizzi,Charouz Racing System,+0.979,19,19
20,23,Ido Cohen,Jenzer Motorsport,+1.121,20,20
21,25,William Alatalo,Jenzer Motorsport,+1.213,21,21
22,19,Nazim Azman,Hitech Grand Prix,+1.218,22,22
23,27,Brad Benavides[b],Carlin,+1.258,23,23
24,24,Federico Malvestiti,Jenzer Motorsport,+1.322,24,24
25,30,Rafael Villagómez,Van Amersfoort Racing,+1.337,25,25
26,28,Enzo Trulli,Carlin,+1.391,26,26
27,11,Filip Ugran,MP Motorsport,+1.454,27,27
28,15,Zdeněk Chovanec[c],Charouz Racing System,+3.116,28,28
29,14,László Tóth,Charouz Racing System,+3.441,29,29
—,22,Pepe Martí,Campos Racing,No time set,30,30
