Pos.,No.,Driver,Team,Time/Gap,R1,R2
1,10,Caio Collet,MP Motorsport,2:11.289,12,1
2,3,Zane Maloney,Trident,+0.262,11,2
3,16,Francesco Pizzi,Charouz Racing System,+0.699,10,3
4,21,Oliver Goethe,Campos Racing,+0.832,9,4
5,2,Roman Staněk,Trident,+0.846,8,5
6,1,Jonny Edgar,Trident,+0.846,7,6
7,11,Alexander Smolyar,MP Motorsport,+0.860,6,7
8,6,Oliver Bearman,Prema Racing,+0.915,5,8
9,29,Franco Colapinto,Van Amersfoort Racing,+0.946,4,9
10,27,Brad Benavides,Carlin,+0.962,3,10
11,9,Juan Manuel Correa,ART Grand Prix,+0.966,2,11
12,26,Zak O'Sullivan,Carlin,+1.165,1,12
13,25,William Alatalo,Jenzer Motorsport,+1.205,13,13
14,28,Enzo Trulli,Carlin,+1.383,14,14
15,12,Kush Maini,MP Motorsport,+1.398,15,15
16,31,Reece Ushijima,Van Amersfoort Racing,+1.427,16,16
17,22,Pepe Martí,Campos Racing,+1.437,17,17
18,20,David Vidales,Campos Racing,+1.666,18,18
19,8,Grégoire Saucy,ART Grand Prix,+1.851,19,19
20,4,Arthur Leclerc,Prema Racing,+1.902,20,20
21,23,Ido Cohen,Jenzer Motorsport,+2.356,21,21
22,24,Federico Malvestiti,Jenzer Motorsport,+2.632,22,22
23,18,Isack Hadjar,Hitech Grand Prix,+2.681,23,23
24,7,Victor Martins,ART Grand Prix,+3.068,24,24
25,15,Christian Mansell,Charouz Racing System,+3.096,25,25
26,17,Kaylen Frederick,Hitech Grand Prix,+3.388,26,26
27,30,Rafael Villagómez,Van Amersfoort Racing,+3.999,27,27
28,14,László Tóth,Charouz Racing System,+4.722,28,28
29,19,Nazim Azman,Hitech Grand Prix,+4.931,29,29
—,5,Jak Crawford,Prema Racing,+12.359,30,30
