Pos.,No.,Driver,Team,Time,Grid
1,19,Lando Norris,Carlin,1:41.761,1
2,8,George Russell,ART Grand Prix,1:41.823,2
3,5,Alexander Albon,DAMS,1:41.850,3
4,4,Nyck de Vries,Pertamina Prema Theodore Racing,1:41.880,4
5,20,Louis Delétraz,Charouz Racing System,1:42.174,5
6,18,Sérgio Sette Câmara,Carlin,1:42.221,6
7,12,Nirei Fukuzumi,BWT Arden,1:42.246,7
8,2,Tadasuke Makino,Russian Time,1:42.264,8
9,7,Jack Aitken,ART Grand Prix,1:42.282,9
10,11,Maximilian Günther,BWT Arden,1:42.336,10
11,21,Antonio Fuoco,Charouz Racing System,1:42.342,11
12,14,Luca Ghiotto,Campos Vexatec Racing,1:42.414,12
13,9,Roberto Merhi,MP Motorsport,1:42.423,13
14,16,Arjun Maini,Trident,1:42.437,14
15,6,Nicholas Latifi,DAMS,1:42.447,15
16,10,Ralph Boschung,MP Motorsport,1:42.460,16
17,1,Artem Markelov,Russian Time,1:42.816,17
18,17,Santino Ferrucci,Trident,1:42.818,18
19,3,Sean Gelael,Pertamina Prema Theodore Racing,1:43.016,19
20,15,Roy Nissany,Campos Vexatec Racing,1:43.350,20
