Pos.,No.,Driver,Team,Time,Grid
1,18,Sérgio Sette Câmara,Carlin,1:27.400,1
2,7,Jack Aitken,ART Grand Prix,1:27.430,2
3,4,Nyck de Vries,Pertamina Prema Theodore Racing,1:27.631,3
4,8,George Russell,ART Grand Prix,1:27.762,4
5,14,Luca Ghiotto,Campos Vexatec Racing,1:27.828,5
6,19,Lando Norris,Carlin,1:27.864,6
7,1,Artem Markelov,Russian Time,1:27.957,7
8,16,Arjun Maini,Trident,1:27.958,8
9,10,Ralph Boschung,MP Motorsport,1:27.973,9
10,20,Louis Delétraz,Charouz Racing System,1:28.032,10
11,12,Nirei Fukuzumi,BWT Arden,1:28.038,11
12,21,Antonio Fuoco,Charouz Racing System,1:28.073,12
13,5,Alexander Albon,DAMS,1:28.107,13
14,6,Nicholas Latifi,DAMS,1:28.124,14
15,11,Maximilian Günther,BWT Arden,1:28.169,15
16,15,Roy Nissany,Campos Vexatec Racing,1:28.348,16
17,17,Alessio Lorandi,Trident,1:28.533,17
18,3,Sean Gelael,Pertamina Prema Theodore Racing,1:28.648,18
19,9,Roberto Merhi,MP Motorsport,1:28.724,19
20,2,Tadasuke Makino,Russian Time,1:28.750,20
