Pos.,No.,Driver,Team,Time,Grid
1,5,Alexander Albon,DAMS,1:21.727,1
2,4,Nyck de Vries,Pertamina Prema Theodore Racing,1:21.737,2
3,1,Artem Markelov,Russian Time,1:21.834,3
4,18,Sérgio Sette Câmara,Carlin,1:21.901,WD
5,21,Antonio Fuoco,Charouz Racing System,1:21.948,4
6,14,Luca Ghiotto,Campos Vexatec Racing,1:22.241,5
7,11,Maximilian Günther,BWT Arden,1:22.194,PL
8,16,Arjun Maini,Trident,1:22.263,7
9,17,Santino Ferrucci,Trident,1:22.408,6
10,10,Ralph Boschung,MP Motorsport,1:22.307,9
11,9,Roberto Merhi,MP Motorsport,1:22.569,8
12,2,Tadasuke Makino,Russian Time,1:22.420,11
13,7,Jack Aitken,ART Grand Prix,1:22.597,10
14,12,Nirei Fukuzumi,BWT Arden,1:22.707,13
15,3,Sean Gelael,Pertamina Prema Theodore Racing,1:22.654,12
16,20,Louis Delétraz,Charouz Racing System,1:22.717,14
17,19,Lando Norris,Carlin,1:22.663,17
18,8,George Russell,ART Grand Prix,1:22.977,16
19,15,Roy Nissany,Campos Vexatec Racing,1:23.796,15
20,6,Nicholas Latifi,DAMS,1:23.157,18
