Pos.,No.,Driver,Team,Time,Grid
1,5,Alexander Albon,DAMS,1:28.142,1
2,4,Nyck de Vries,Pertamina Prema Theodore Racing,1:28.369,2
3,14,Luca Ghiotto,Campos Vexatec Racing,1:28.400,3
4,8,George Russell,ART Grand Prix,1:28.524,4
5,7,Jack Aitken,ART Grand Prix,1:28.579,5
6,6,Nicholas Latifi,DAMS,1:28.605,6
7,2,Tadasuke Makino,Russian Time,1:28.620,7
8,19,Lando Norris,Carlin,1:28.923,8
9,10,Ralph Boschung,MP Motorsport,1:28.970,9
10,9,Roberto Merhi,MP Motorsport,1:29.081,10
11,21,Antonio Fuoco,Charouz Racing System,1:29.130,11
12,20,Louis Delétraz,Charouz Racing System,1:29.136,12
13,11,Maximilian Günther,BWT Arden,1:29.143,13
14,18,Sérgio Sette Câmara,Carlin,1:29.256,14
15,15,Roy Nissany,Campos Vexatec Racing,1:29.284,15
16,3,Sean Gelael,Pertamina Prema Theodore Racing,1:29.307,16
17,12,Nirei Fukuzumi,BWT Arden,1:29.376,17
18,16,Arjun Maini,Trident,1:29.407,18
19,1,Artem Markelov,Russian Time,1:29.585,19
20,17,Santino Ferrucci,Trident,1:30.440,20
