Pos.,No.,Driver,Team,Time,Grid
1,8,George Russell,ART Grand Prix,1:13.541,1
2,19,Lando Norris,Carlin,1:13.779,2
3,18,Sérgio Sette Câmara,Carlin,1:13.823,3
4,7,Jack Aitken,ART Grand Prix,1:13.961,4
5,16,Arjun Maini,Trident,1:13.999,5
6,11,Maximilian Günther,BWT Arden,1:14.014,6
7,20,Louis Delétraz,Charouz Racing System,1:14.104,7
8,5,Alexander Albon,DAMS,1:14.115,8
9,4,Nyck de Vries,Pertamina Prema Theodore Racing,1:14.171,9
10,2,Tadasuke Makino,Russian Time,1:14.201,10
11,14,Luca Ghiotto,Campos Vexatec Racing,1:14.309,11
12,9,Roberto Merhi,MP Motorsport,1:14.323,12
13,21,Antonio Fuoco,Charouz Racing System,1:14.330,13
14,17,Santino Ferrucci,Trident,1:14.334,14
15,3,Sean Gelael,Pertamina Prema Theodore Racing,1:14.363,15
16,10,Ralph Boschung,MP Motorsport,1:14.389,16
17,12,Nirei Fukuzumi,BWT Arden,1:14.400,17
18,1,Artem Markelov,Russian Time,1:14.589,18
19,6,Nicholas Latifi,DAMS,1:14.700,19
20,15,Roy Nissany,Campos Vexatec Racing,1:15.436,20
