Pos.,No.,Driver,Team,Time,Grid
1,8,George Russell,ART Grand Prix,1:31.546,1
2,18,Sérgio Sette Câmara,Carlin,1:31.600,2
3,5,Alexander Albon,DAMS,1:31.889,3
4,1,Artem Markelov,Russian Time,1:31.922,4
5,6,Nicholas Latifi,DAMS,1:32.021,5
6,21,Antonio Fuoco,Charouz Racing System,1:32.159,9
7,19,Lando Norris,Carlin,1:32.191,6
8,16,Arjun Maini,Trident,1:32.248,7
9,14,Luca Ghiotto,Campos Vexatec Racing,1:32.346,8
10,20,Louis Delétraz,Charouz Racing System,1:32.407,10
11,4,Nyck de Vries,Pertamina Prema Theodore Racing,1:32.566,11
12,7,Jack Aitken,ART Grand Prix,1:32.681,12
13,12,Nirei Fukuzumi,BWT Arden,1:32.735,13
14,2,Tadasuke Makino,Russian Time,1:32.750,14
15,15,Roy Nissany,Campos Vexatec Racing,1:32.801,15
16,17,Alessio Lorandi,Trident,1:32.803,16
17,3,Sean Gelael,Pertamina Prema Theodore Racing,1:32.913,17
18,10,Ralph Boschung,MP Motorsport,1:32.965,18
19,11,Maximilian Günther,BWT Arden,1:33.496,19
20,9,Dorian Boccolacci,MP Motorsport,1:48.586,20
