Pos.,No.,Driver,Team,Time,Grid
1,4,Nyck de Vries,Pertamina Prema Theodore Racing,1:46.476,1
2,19,Lando Norris,Carlin,1:46.696,2
3,8,George Russell,ART Grand Prix,1:46.839,3
4,6,Nicholas Latifi,DAMS,1:46.890,4
5,5,Alexander Albon,DAMS,1:47.039,5
6,14,Luca Ghiotto,Campos Vexatec Racing,1:47.151,6
7,2,Tadasuke Makino,Russian Time,1:47.372,7
8,18,Sérgio Sette Câmara,Carlin,1:47.384,8
9,7,Jack Aitken,ART Grand Prix,1:47.634,9
10,11,Maximilian Günther,BWT Arden,1:47.743,10
11,21,Antonio Fuoco,Charouz Racing System,1:47.774,11
12,15,Roberto Merhi,Campos Vexatec Racing,1:47.854,12
13,17,Alessio Lorandi,Trident,1:48.006,13
14,20,Louis Delétraz,Charouz Racing System,1:48.105,14
15,3,Sean Gelael,Pertamina Prema Theodore Racing,1:48.154,15
16,10,Niko Kari,MP Motorsport,1:48.206,16
17,12,Nirei Fukuzumi,BWT Arden,1:48.327,17
18,9,Dorian Boccolacci,MP Motorsport,1:48.491,18
19,1,Artem Markelov,Russian Time,1:48.568,19
—,16,Arjun Maini,Trident,2:14.971,20
