Pos.,No.,Driver,Team,Time,Grid
1,4,Nyck de Vries,Pertamina Prema Theodore Racing,1:56.054,1
2,8,George Russell,ART Grand Prix,1:56.457,2
3,18,Sérgio Sette Câmara,Carlin,1:56.594,3
4,14,Luca Ghiotto,Campos Vexatec Racing,1:56.611,4
5,19,Lando Norris,Carlin,1:56.723,5
6,5,Alexander Albon,DAMS,1:56.878,6
7,21,Antonio Fuoco,Charouz Racing System,1:56.930,10
8,12,Nirei Fukuzumi,BWT Arden,1:57.169,7
9,20,Louis Delétraz,Charouz Racing System,1:57.183,8
10,1,Artem Markelov,Russian Time,1:57.266,9
11,2,Tadasuke Makino,Russian Time,1:57.394,11
12,6,Nicholas Latifi,DAMS,1:57.515,12
13,10,Ralph Boschung,MP Motorsport,1:57.596,13
14,11,Maximilian Günther,BWT Arden,1:57.635,14
15,16,Arjun Maini,Trident,1:57.718,15
16,7,Jack Aitken,ART Grand Prix,1:57.754,16
17,15,Roy Nissany,Campos Vexatec Racing,1:57.773,17
18,3,Sean Gelael,Pertamina Prema Theodore Racing,1:57.878,18
19,17,Alessio Lorandi,Trident,1:58.174,19
20,9,Dorian Boccolacci,MP Motorsport,1:58.338,20
