Pos,No,Driver,Team,Time,Grid
1,10,Alex Lynn,Carlin,1:35.614,1
2,2,Marvin Kirchhöfer,ART Grand Prix,1:35.726,2
3,27,Richie Stanaway,Status Grand Prix,1:35.784,3
4,8,Jimmy Eriksson,Koiranen GP,1:35.904,4
5,14,Patrick Kujala,Marussia Manor Racing,1:35.970,5
6,3,Dino Zamparelli,ART Grand Prix,1:36.015,6
7,11,Emil Bernstorff,Carlin,1:36.136,7
8,1,Alex Fontana,ART Grand Prix,1:36.151,8
9,20,Pål Varhaug,Jenzer Motorsport,1:36.165,9
10,21,Mathéo Tuscher,Jenzer Motorsport,1:36.210,10
11,26,Nick Yelloly,Status Grand Prix,1:36.230,11
12,5,Patric Niederhauser,Arden International,1:36.276,12
13,16,Dean Stoneman,Marussia Manor Racing,1:36.375,13
14,24,Roman de Beer,Trident,1:36.579,14
15,4,Robert Vișoiu,Arden International,1:36.711,15
16,15,Ryan Cullen,Marussia Manor Racing,1:36.759,16
17,22,Adderly Fong,Jenzer Motorsport,1:36.787,17
18,6,Jann Mardenborough,Arden International,1:36.871,18
19,23,Victor Carbone,Trident,1:37.023,19
20,18,Nelson Mason,Hilmer Motorsport,1:37.084,23
21,12,Luís Sá Silva,Carlin,1:37.163,20
22,9,Santiago Urrutia,Koiranen GP,1:37.166,21
23,28,Alfonso Celis Jr.,Status Grand Prix,1:37.300,22
24,19,Beitske Visser,Hilmer Motorsport,1:37.406,24
25,17,Ivan Taranov,Hilmer Motorsport,1:38.071,25
26,25,Denis Nagulin,Trident,1:38.203,26
27,7,Carmen Jordá,Koiranen GP,1:38.694,27
