Pos.,No.,Driver,Team,Time,Grid
1,25,Luca Ghiotto,Trident,2:22.251,1
2,11,Emil Bernstorff,Carlin,2:22.584,2
3,8,Jimmy Eriksson,Koiranen GP,2:22.678,3
4,27,Richie Stanaway,Status Grand Prix,2:22.862,4
5,10,Alex Lynn,Carlin,2:23.081,5
6,14,Patrick Kujala,Marussia Manor Racing,2:23.303,6
7,2,Marvin Kirchhöfer,ART Grand Prix,2:23.413,7
8,5,Patric Niederhauser,Arden International,2:23.438,8
9,21,Mathéo Tuscher,Jenzer Motorsport,2:23.481,9
10,3,Dino Zamparelli,ART Grand Prix,2:23.565,10
11,16,Dean Stoneman,Marussia Manor Racing,2:23.586,11
12,6,Jann Mardenborough,Arden International,2:23.794,12
13,26,Nick Yelloly,Status Grand Prix,2:23.920,13
14,4,Robert Vișoiu,Arden International,2:23.996,14
15,22,Kevin Ceccon,Jenzer Motorsport,2:24.057,15
16,1,Alex Fontana,ART Grand Prix,2:24.248,16
17,17,Sebastian Balthasar,Hilmer Motorsport,2:24.464,17
18,9,Santiago Urrutia,Koiranen GP,2:24.687,18
19,18,Nelson Mason,Hilmer Motorsport,2:24.846,19
20,12,Luís Sá Silva,Carlin,2:24.862,20
21,20,Pål Varhaug,Jenzer Motorsport,2:25.301,21
22,28,Alfonso Celis Jr.,Status Grand Prix,2:25.553,22
23,19,Riccardo Agostini,Hilmer Motorsport,2:25.965,23
24,24,John Bryant-Meisner,Trident,2:25.969,24
25,15,Ryan Cullen,Marussia Manor Racing,2:26.537,25
26,24,Carmen Jordá,Koiranen GP,No time,26
WD,25,Konstantin Tereshchenko,Trident,Withdrawn[1],WD
