Pos,No,Driver,Team,Time,Grid
1,2,Marvin Kirchhöfer,ART Grand Prix,1:55.163,1
2,7,Dean Stoneman,Koiranen GP,1:55.634,2
3,11,Emil Bernstorff,Carlin,1:55.664,3
4,10,Alex Lynn,Carlin,1:55.729,4
5,3,Dino Zamparelli,ART Grand Prix,1:55.819,5
6,8,Jimmy Eriksson,Koiranen GP,1:55.863,6
7,1,Alex Fontana,ART Grand Prix,1:55.900,7
8,5,Patric Niederhauser,Arden International,1:55.995,8
9,26,Nick Yelloly,Status Grand Prix,1:56.038,9
10,27,Richie Stanaway,Status Grand Prix,1:56.113,10
11,22,Kevin Ceccon,Jenzer Motorsport,1:56.145,11
12,25,Patrick Kujala,Trident,1:56.199,12
13,6,Jann Mardenborough,Arden International,1:56.291,13
14,9,Santiago Urrutia,Koiranen GP,1:56.443,14
15,21,Mathéo Tuscher,Jenzer Motorsport,1:56.498,15
16,4,Robert Vișoiu,Arden International,1:56.501,16
17,20,Pål Varhaug,Jenzer Motorsport,1:56.530,17
18,12,Luís Sá Silva,Carlin,1:56.873,18
19,19,Riccardo Agostini,Hilmer Motorsport,1:56.941,19
20,18,Nelson Mason,Hilmer Motorsport,1:56.959,20
21,28,Alfonso Celis Jr.,Status Grand Prix,1:57.577,21
22,24,Ryan Cullen,Trident,1:57.697,22
23,23,Kang Ling,Trident,1:58.816,23
